compound,amino_acid,acyl_n,category,formula,neutral_mass,adduct,target_mz
N-C4:0-glycine,glycine,4,short_medium_chain,C6H11N1O3,145.07389322240002,[M+H]+,146.0811696743
N-C5:0-glycine,glycine,5,short_medium_chain,C7H13N1O3,159.0895432862,[M+H]+,160.0968197381
N-C4:0-alanine,alanine,4,short_medium_chain,C7H13N1O3,159.0895432862,[M+H]+,160.0968197381
N-C4:0-glycine,glycine,4,short_medium_chain,C6H11N1O3,145.07389322240002,[M+NH4]+,163.10771877520003
N-C4:0-glycine,glycine,4,short_medium_chain,C6H11N1O3,145.07389322240002,[M+Na]+,168.06311392240002
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,173.10519335,[M+H]+,174.1124698019
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,173.10519335,[M+H]+,174.1124698019
N-C4:0-serine,serine,4,short_medium_chain,C7H13N1O4,175.0844579083,[M+H]+,176.0917343602
N-C5:0-glycine,glycine,5,short_medium_chain,C7H13N1O3,159.0895432862,[M+NH4]+,177.12336883900002
N-C4:0-alanine,alanine,4,short_medium_chain,C7H13N1O3,159.0895432862,[M+NH4]+,177.12336883900002
N-C5:0-glycine,glycine,5,short_medium_chain,C7H13N1O3,159.0895432862,[M+Na]+,182.07876398620002
N-C4:0-alanine,alanine,4,short_medium_chain,C7H13N1O3,159.0895432862,[M+Na]+,182.07876398620002
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,185.10519334999998,[M+H]+,186.11246980189998
N-C7:0-glycine,glycine,7,short_medium_chain,C9H17N1O3,187.1208434138,[M+H]+,188.1281198657
N-C6:0-alanine,alanine,6,short_medium_chain,C9H17N1O3,187.1208434138,[M+H]+,188.1281198657
N-C4:0-valine,valine,4,short_medium_chain,C9H17N1O3,187.1208434138,[M+H]+,188.1281198657
N-C4:0-homoserine,homoserine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+H]+,190.107384424
N-C5:0-serine,serine,5,short_medium_chain,C8H15N1O4,189.1001079721,[M+H]+,190.107384424
N-C4:0-threonine,threonine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+H]+,190.107384424
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,173.10519335,[M+NH4]+,191.13901890280002
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,173.10519335,[M+NH4]+,191.13901890280002
N-C4:0-cysteine,cysteine,4,short_medium_chain,C7H13N1O3S1,191.06161397620002,[M+H]+,192.06889042810002
N-C4:0-serine,serine,4,short_medium_chain,C7H13N1O4,175.0844579083,[M+NH4]+,193.11828346110002
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,173.10519335,[M+Na]+,196.09441405
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,173.10519335,[M+Na]+,196.09441405
N-C4:0-serine,serine,4,short_medium_chain,C7H13N1O4,175.0844579083,[M+Na]+,198.0736786083
N-C5:0-proline,proline,5,short_medium_chain,C10H17N1O3,199.1208434138,[M+H]+,200.1281198657
N-C4:0-isoleucine,isoleucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+H]+,202.1437699295
N-C5:0-valine,valine,5,short_medium_chain,C10H19N1O3,201.1364934776,[M+H]+,202.1437699295
N-C7:0-alanine,alanine,7,short_medium_chain,C10H19N1O3,201.1364934776,[M+H]+,202.1437699295
N-C8:0-glycine,glycine,8,short_medium_chain,C10H19N1O3,201.1364934776,[M+H]+,202.1437699295
N-C4:0-leucine,leucine,4,short_medium_chain,C10H19N1O3,201.1364934776,[M+H]+,202.1437699295
N-C4:0-asparagine,asparagine,4,short_medium_chain,C8H14N2O4,202.0953569454,[M+H]+,203.1026333973
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,185.10519334999998,[M+NH4]+,203.1390189028
N-C4:0-aspartate,aspartate,4,short_medium_chain,C8H13N1O5,203.0793725304,[M+H]+,204.0866489823
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+H]+,204.1230344878
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,203.1157580359,[M+H]+,204.1230344878
N-C5:0-threonine,threonine,5,short_medium_chain,C9H17N1O4,203.1157580359,[M+H]+,204.1230344878
N-C7:0-glycine,glycine,7,short_medium_chain,C9H17N1O3,187.1208434138,[M+NH4]+,205.1546689666
N-C6:0-alanine,alanine,6,short_medium_chain,C9H17N1O3,187.1208434138,[M+NH4]+,205.1546689666
N-C4:0-valine,valine,4,short_medium_chain,C9H17N1O3,187.1208434138,[M+NH4]+,205.1546689666
N-C5:0-cysteine,cysteine,5,short_medium_chain,C8H15N1O3S1,205.07726404000002,[M+H]+,206.08454049190001
N-C4:0-homoserine,homoserine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+NH4]+,207.13393352490002
N-C5:0-serine,serine,5,short_medium_chain,C8H15N1O4,189.1001079721,[M+NH4]+,207.13393352490002
N-C4:0-threonine,threonine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+NH4]+,207.13393352490002
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,185.10519334999998,[M+Na]+,208.09441404999998
N-C4:0-cysteine,cysteine,4,short_medium_chain,C7H13N1O3S1,191.06161397620002,[M+NH4]+,209.09543952900003
N-C6:0-alanine,alanine,6,short_medium_chain,C9H17N1O3,187.1208434138,[M+Na]+,210.1100641138
N-C4:0-valine,valine,4,short_medium_chain,C9H17N1O3,187.1208434138,[M+Na]+,210.1100641138
N-C7:0-glycine,glycine,7,short_medium_chain,C9H17N1O3,187.1208434138,[M+Na]+,210.1100641138
N-C5:0-serine,serine,5,short_medium_chain,C8H15N1O4,189.1001079721,[M+Na]+,212.0893286721
N-C4:0-threonine,threonine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+Na]+,212.0893286721
N-C4:0-homoserine,homoserine,4,short_medium_chain,C8H15N1O4,189.1001079721,[M+Na]+,212.0893286721
N-C4:0-cysteine,cysteine,4,short_medium_chain,C7H13N1O3S1,191.06161397620002,[M+Na]+,214.05083467620003
N-C6:0-proline,proline,6,short_medium_chain,C11H19N1O3,213.1364934776,[M+H]+,214.1437699295
N-C5:0-leucine,leucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+H]+,216.1594199933
N-C5:0-isoleucine,isoleucine,5,short_medium_chain,C11H21N1O3,215.1521435414,[M+H]+,216.1594199933
N-C6:0-valine,valine,6,short_medium_chain,C11H21N1O3,215.1521435414,[M+H]+,216.1594199933
N-C8:0-alanine,alanine,8,short_medium_chain,C11H21N1O3,215.1521435414,[M+H]+,216.1594199933
N-C9:0-glycine,glycine,9,short_medium_chain,C11H21N1O3,215.1521435414,[M+H]+,216.1594199933
N-C4:0-glutamine,glutamine,4,short_medium_chain,C9H16N2O4,216.1110070092,[M+H]+,217.1182834611
N-C5:0-asparagine,asparagine,5,short_medium_chain,C9H16N2O4,216.1110070092,[M+H]+,217.1182834611
N-C4:0-lysine,lysine,4,short_medium_chain,C10H20N2O3,216.14739251470002,[M+H]+,217.1546689666
N-C5:0-proline,proline,5,short_medium_chain,C10H17N1O3,199.1208434138,[M+NH4]+,217.1546689666
N-C5:0-aspartate,aspartate,5,short_medium_chain,C9H15N1O5,217.09502259419997,[M+H]+,218.10229904609997
N-C4:0-glutamate,glutamate,4,short_medium_chain,C9H15N1O5,217.09502259419997,[M+H]+,218.10229904609997
