strain_code,AngularSecondMoment_median,Contrast_median,Correlation_median,HaralickVariance_median,InverseDifferenceMoment_median,SumAverage_median,SumVariance_median,SumEntropy_median,Entropy_median,DiffVariance_median,DiffEntropy_median,InfoCorrelation1_median,InfoCorrelation2_median,shape_area_median,shape_solidity_median,n_colonies_used,Species
DBVPG_10075,0.09986033180525135,0.9372113589384332,0.6599960071954413,1.3903207077951905,0.7368189437235978,42.580999648626445,4.624071472242406,3.07851068032011,3.917819361428692,0.0154284019385167,1.391588844478083,-0.2471568130981849,0.8132133770201382,40506.0,56.75434462891592,2,Cystobasidium sp.
DBVPG_10348,0.13460443134171604,0.7985007830365548,0.6207167861566981,1.0609811792783574,0.7557537020195148,43.27477328664254,3.445423934076814,2.807217829982731,3.5103865420294538,0.016450663984036752,1.317911817377487,-0.21876481482722054,0.7574789263545608,50228.5,63.14083589976279,2,Rhodotorula sp. clade XI
DBVPG_10383,0.1054649735414342,0.9916302258259818,0.7640608678814953,1.8867643227659696,0.7388292499214183,45.92235500280002,6.657634591072338,3.14097627046194,3.970939043772652,0.0150974067744199,1.417657079217107,-0.297880528025651,0.8727642460746252,38726.0,55.53734368306942,3,Rhodotorula kratochvilovae
DBVPG_10619,0.12155489483766191,0.8667649329145648,0.736420965532364,1.5459782863101812,0.7421887499124169,44.46953899296926,5.3894096587795275,3.0380092512900316,3.7458798821711783,0.0157281954406142,1.3697494876835816,-0.27696490637604804,0.8320651508703497,35227.0,50.803646694848645,4,Rhodotorula mucilaginosa
DBVPG_10753,0.1107304395214026,0.7159523595908479,0.7018230746749513,1.366681736992021,0.7595828109851831,43.23280204696856,4.361564526362713,2.9943786450637284,3.7028725912080658,0.015824733376473,1.2863377781834435,-0.2751964780400301,0.8320599419087442,42796.0,58.19768334510716,3,Rhodotorula kratochvilovae
DBVPG_10780,0.1145229294791797,0.7474394119738127,0.6717274392095794,1.1144835562863022,0.748538978819229,43.65562390904232,3.7268326444605577,2.9027370021186187,3.757127491671657,0.0159478018822179,1.3137285103368188,-0.2642896911509131,0.8118459400645837,39058.0,55.78308557686554,3,Rhodotorula mucilaginosa
DBVPG_10842,0.144642634861937,0.5668306298574569,0.7028622584245396,1.3568023854907665,0.7650866056162485,46.12691114156356,4.868807005208851,2.734814876630028,3.301047459660408,0.0159884324652725,1.1821656804509226,-0.2988918998221327,0.833332246139296,59466.0,67.7590132491017,3,Rhodotorula mucilaginosa
DBVPG_10882,0.1343256025110283,0.9320633567524466,0.6229941017567286,1.2275484952515685,0.7464756008812311,44.854608141732896,3.9781306242535095,2.8617943905773284,3.579756035023691,0.01555489616594485,1.4020271679603709,-0.21166974047429238,0.7606761663980004,36738.0,53.94054441619919,4,Rhodotorula mucilaginosa
DBVPG_10886,0.1439436242874909,0.8066171909849245,0.6114721511168202,1.0391667935280113,0.7634536357345733,45.19386578336641,3.350049983127093,2.8373703517393363,3.5521971311920266,0.016459932086679098,1.2984192914636652,-0.23543126345660864,0.7797174413222479,48133.0,61.894122393182975,4,Rhodotorula mucilaginosa
DBVPG_10937,0.09146310966012695,0.9543355380254964,0.693546194508956,1.3956861496700768,0.7146425047804363,42.68028004143241,4.638979165100807,3.079702718548625,3.9906054333344434,0.015197865371299552,1.427316979737523,-0.23926881614880297,0.8222409892845215,39742.0,56.22609223648707,4,Rhodotorula mucilaginosa
