perm,n_raw_matches,n_distinct_rows
0,39,39
1,25,25
2,36,36
3,51,51
4,21,21
5,23,23
6,18,18
7,36,36
8,22,22
9,19,19
10,30,30
11,39,39
12,25,25
13,18,18
14,20,20
15,21,21
16,41,41
17,35,32
18,14,14
19,36,36
20,27,27
21,20,20
22,48,48
23,25,25
24,22,22
25,25,25
26,31,31
27,13,13
28,20,20
29,33,33
30,18,18
31,39,39
32,32,32
33,39,39
34,27,27
35,32,32
36,28,28
37,15,15
38,34,34
39,17,17
40,22,22
41,31,31
42,30,30
43,27,27
44,47,47
45,16,16
46,30,30
47,36,36
48,21,21
49,36,36
50,15,15
51,34,34
52,29,29
53,15,15
54,32,32
55,22,22
56,34,34
57,41,41
58,22,22
59,17,17
60,28,28
61,15,15
62,37,37
63,33,33
64,30,30
65,40,40
66,21,21
67,45,44
68,23,23
69,26,26
70,40,40
71,22,22
72,27,27
73,15,15
74,21,21
75,17,17
76,21,21
77,28,28
78,26,26
79,22,22
80,16,16
81,30,30
82,28,28
83,23,23
84,18,18
85,22,22
86,16,16
87,14,14
88,40,40
89,32,32
90,50,50
91,31,31
92,42,42
93,22,22
94,25,25
95,31,31
96,33,32
97,21,21
98,29,29
99,39,39
100,25,25
101,21,21
102,31,30
103,48,48
104,30,30
105,27,27
106,40,40
107,18,18
108,21,21
109,20,20
110,26,26
111,40,40
112,32,32
113,26,26
114,31,30
115,36,36
116,33,33
117,49,48
118,62,62
119,15,15
120,26,26
121,25,25
122,20,20
123,22,22
124,12,12
125,19,19
126,13,13
127,31,31
128,25,25
129,26,26
130,26,26
131,24,24
132,16,16
133,42,42
134,29,29
135,19,19
136,31,31
137,16,16
138,31,31
139,29,29
140,32,32
141,31,31
142,18,18
143,29,29
144,37,37
145,40,40
146,16,16
147,29,29
148,16,16
149,27,27
150,19,19
151,23,23
152,32,32
153,27,27
154,14,14
155,35,35
156,31,31
157,27,27
158,22,22
159,25,25
160,19,19
161,21,21
162,14,14
163,11,11
164,25,25
165,36,36
166,39,39
167,24,24
168,26,26
169,33,33
170,31,31
171,41,41
172,24,24
173,48,48
174,31,31
175,15,15
176,24,24
177,26,26
178,22,22
179,21,21
180,24,21
181,37,37
182,21,21
183,25,25
184,14,14
185,20,20
186,21,21
187,32,32
188,21,21
189,32,32
190,19,19
191,14,14
192,37,37
193,36,36
194,22,22
195,19,19
196,21,21
197,41,41
198,22,22
199,29,29
200,38,38
201,19,19
202,24,24
203,31,31
204,18,18
205,32,32
206,30,30
207,28,28
208,34,34
209,45,45
210,39,39
211,32,32
212,35,35
213,15,15
214,27,27
215,39,39
216,22,22
217,44,44
218,33,33
219,35,35
220,31,31
221,25,25
222,16,16
223,38,38
224,17,17
225,25,25
226,28,28
227,17,17
228,35,35
229,17,17
230,22,22
231,22,22
232,38,38
233,23,23
234,37,37
235,41,41
236,17,17
237,21,21
238,37,37
239,25,25
240,13,13
241,23,23
242,33,33
243,39,39
244,50,50
245,25,25
246,24,24
247,31,31
248,29,29
249,28,28
250,35,35
251,32,32
252,31,31
253,35,35
254,19,19
255,16,16
256,37,37
257,14,14
258,48,48
259,24,24
260,36,36
261,24,24
262,49,49
263,25,25
