compound,formula,neutral_mass,adduct,target_mz
phenylethanol,C8H10O1,122.0731649411,[M+H]+,123.080441393
tyrosol,C8H10O2,138.0680795632,[M+H]+,139.0753560151
phenylethanol,C8H10O1,122.0731649411,[M+NH4]+,140.1069904939
phenylethanol,C8H10O1,122.0731649411,[M+Na]+,145.0623856411
tyrosol,C8H10O2,138.0680795632,[M+NH4]+,156.101905116
tyrosol,C8H10O2,138.0680795632,[M+Na]+,161.0573002632
tryptophol,C10H11N1O1,161.0840639782,[M+H]+,162.0913404301
tryptophol,C10H11N1O1,161.0840639782,[M+NH4]+,179.117889531
tryptophol,C10H11N1O1,161.0840639782,[M+Na]+,184.0732846782
farnesol,C15H26O1,222.1983654515,[M+H]+,223.2056419034
farnesoic_acid,C15H24O2,236.1776300098,[M+H]+,237.1849064617
farnesol,C15H26O1,222.1983654515,[M+NH4]+,240.2321910043
farnesol,C15H26O1,222.1983654515,[M+Na]+,245.1875861515
farnesoic_acid,C15H24O2,236.1776300098,[M+NH4]+,254.2114555626
farnesoic_acid,C15H24O2,236.1776300098,[M+Na]+,259.1668507098
