compound,headgroup,acyl_n,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,total_scans,dedup_group_id,sirius_formula,sirius_structure_name,sirius_npc_class
N-C8:0-ethanolamine,ethanolamine,8,C10H21N1O2,[M+NH4]+,205.1910544721,17953,205.1946,17.279154342880634,5.013488,True,True,7,asid_48822,C15H24,"2,6,6-trimethyl-9-methylidenecycloundeca-1,4-diene",Caryophyllane sesquiterpenoids
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,[M+NH4]+,219.2067045359,4320,219.2101,15.489782154237282,5.255,True,True,48,asid_32,C16H26,"(E,E)-4,8,12-Trimethyl-1,3,7,11-Tridecatetraene",Hydrocarbons
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,[M+NH4]+,219.2067045359,5608,219.2101,15.489782154237282,5.426,True,True,73,asid_4440,C16H26,"(E,E)-4,8,12-Trimethyl-1,3,7,11-Tridecatetraene",Hydrocarbons
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,[M+NH4]+,219.2067045359,9412,219.2101,15.489782154237282,5.149,True,True,16,asid_16224,C16H26,"(E,E)-4,8,12-Trimethyl-1,3,7,11-Tridecatetraene",Hydrocarbons
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,[M+H]+,230.2114555626,6502,230.2109,-2.4132708715176108,2.684702,True,False,49,asid_6502,C13H27NO2,Capryloylcholine,Fatty acyl carnitines
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+H]+,244.19072012089998,12414,244.1899,-3.358526071677892,5.538476,True,False,10,asid_12414,,,
N-C12:0-ethanolamine,ethanolamine,12,C14H29N1O2,[M+H]+,244.2271056264,14362,244.2267,-1.6608574178099098,3.11495,True,False,25,asid_14362,C14H29NO2,"Glycine, N-dodecyl-",N-acyl amines
N-C12:0-ethanolamine,ethanolamine,12,C14H29N1O2,[M+H]+,244.2271056264,28522,244.2265,-2.4797673397601137,4.367116,True,False,6,asid_28522,,,
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,[M+NH4]+,247.23800466350002,5166,247.2412,12.92413156431919,5.409,True,True,74,asid_214,C18H30,"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene",Hydrocarbons
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,[M+NH4]+,247.23800466350002,8896,247.2412,12.92413156431919,5.485,True,True,41,asid_2904,C18H30,"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene",Hydrocarbons
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,[M+NH4]+,247.23800466350002,10329,247.2412,12.92413156431919,5.542,True,True,49,asid_68,C18H30,"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene",Hydrocarbons
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,[M+NH4]+,247.23800466350002,12768,247.2413,13.328600125450896,5.167,True,False,13,asid_12768,C18H30,"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene",Hydrocarbons
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+H]+,252.1264053054,18910,252.1225,-15.489474001209691,1.046889,True,False,31,asid_18910,,,
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+H]+,252.1264053054,26182,252.1225,-15.489474001209691,0.899384,True,False,15,asid_26182,,,
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+H]+,252.1264053054,26662,252.1225,-15.489474001209691,0.89505,True,False,15,asid_26662,,,
N-C13:0-ethanolamine,ethanolamine,13,C15H31N1O2,[M+H]+,258.2427556902,1585,258.2419,-3.3135109549358677,4.987,True,False,21,asid_2967,,,
N-C13:0-ethanolamine,ethanolamine,13,C15H31N1O2,[M+H]+,258.2427556902,5378,258.2424,-1.3773482205666612,5.109518,True,False,8,asid_5378,C15H31NO2,N-Dodecylsarcosinate,N-acyl amines
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+NH4]+,261.2172692218,9059,261.2207,13.133810832061902,4.855,True,True,11,asid_402,C18H28O,Farnesylideneacetone,Fatty aldehydes
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+NH4]+,261.2172692218,14266,261.2202,11.219695423327309,5.205891,True,True,20,asid_240,C18H28O,Farnesylideneacetone,Fatty aldehydes
N-C9:0-taurine,taurine,9,C11H23N1O4S1,[M+H]+,266.14205536919997,27890,266.1381,-14.861872147452237,0.95739,True,False,19,asid_27890,C14H19NO4,Benzoylcarnitine,Fatty acyl carnitines
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+Na]+,266.17266436899996,20316,266.1718,-3.2473995854938695,5.519,True,True,8,asid_10152,C10H23N3O5,,Aminoacids
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+Na]+,266.17266436899996,24721,266.1717,-3.623095565653235,3.760489,True,False,7,asid_24721,C10H23N3O5,,
N-C9:0-GABA,GABA,9,C13H25N1O3,[M+Na]+,266.17266436899996,30660,266.1741,5.393607955395286,2.642,True,False,16,asid_30660,,,
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+NH4]+,269.1529544063,22560,269.1489,-15.063577172797169,0.541231,True,False,19,asid_25883,C13H20N2O4,"4-(carboxylatomethyl)-3-{[5-(methoxymethyl)-1,2-oxazol-3-yl]methyl}piperidin-1-ium",Aminoacids
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+NH4]+,269.1529544063,32584,269.149,-14.692041217728502,0.798341,True,False,22,asid_32584,C13H20N2O4,2-Methoxyethyl N-(5-amino-2-methoxyphenyl)-beta-alaninate,Aminoacids
N-C14:0-ethanolamine,ethanolamine,14,C16H33N1O2,[M+H]+,272.258405754,1854,272.258,-1.4903268052202772,3.985978,True,True,18,asid_4780,C16H33NO2,Carboxymethyl-dodecyl-dimethylazanium,N-acyl amines
N-C14:0-ethanolamine,ethanolamine,14,C16H33N1O2,[M+H]+,272.258405754,28038,272.2574,-3.6941155121342764,4.575741,True,False,8,asid_28038,,,
N-C8:0-taurine,taurine,8,C10H21N1O4S1,[M+Na]+,274.1083495535,22387,274.1064,-7.112346278925224,3.84886,True,False,10,asid_22387,,,
