species,row_24998_histidine_MH,row_40740_histidine_MNa,row_4109_palmitoyl_arginine,row_51126_myristoyl_arginine,row_51152_palmitoyl_lysine,n_strains
Cystobasidium sp.,4.622783725427208,0.0,5.852974393052444,4.887577919516976,4.753038892576265,1
Pseudomicrostroma phylloplanum,0.0,4.616853453415137,5.1223928377025825,0.0,0.0,1
Rhodotorula araucariae,6.048139090382356,5.983130827726758,6.453416045314036,5.490684507325233,5.345187424347086,1
Rhodotorula dairenensis,4.364278874969505,2.5115874696010074,5.877536245997816,2.5149135964013647,2.7037921050434117,6
Rhodotorula diobovata,3.945869841936706,2.8894056869624682,5.250326859367448,4.29138980634015,3.790476718548561,7
Rhodotorula glutinis,2.336763874594799,0.0,2.94140452069622,2.4555548235959512,2.378394099384059,2
Rhodotorula graminis,3.0552297378364357,3.080965021447289,5.2216643928813715,1.5077984161517763,3.0865982806428343,3
Rhodotorula kratochvilovae,5.124211454209094,1.6355742746654507,5.645357174290939,3.3317116908583913,4.768352779516233,3
Rhodotorula mucilaginosa,2.3632315804718917,1.5137803436403794,5.4692085775481445,2.846415535894093,2.7759998292236445,206
Rhodotorula paludigena,4.252102436923776,4.248945849158046,5.543710285383387,4.105739351110182,4.368970815333668,8
Rhodotorula sp. clade I,1.8926009865869808,0.9338540759476393,3.417895905340246,2.8295443123671253,1.9397779436898113,5
Rhodotorula sp. clade XI,0.0,0.0,5.2665311440727525,0.0,2.3597609353003794,2
Rhodotorula sp. clade XIII,0.0,0.0,4.944862513665395,4.7611833398579595,0.0,1
Rhodotorula sphaerocarpa,4.160308510312667,3.8572230469977384,4.784378967787779,3.7600714381548546,3.843141895262722,4
Rhodotorula taiwanensis,5.671266230129547,5.468284209689555,6.419663294609216,5.158541183513379,4.556277106181933,7
Rhodotorula toruloides,3.043736592636014,0.6006068391256565,5.689761860265591,3.514612795577161,1.2319059043347786,8
