row_id,strain_code,species,fraction,peak_area
4109,TFCN_17-291Y-1,Rhodotorula mucilaginosa,cell,358867
4109,TFCN_86C-9,Rhodotorula sphaerocarpa,cell,8643297
4109,TFCN_404D-1,Rhodotorula mucilaginosa,cell,150490
4109,TFCN_213-6-2,Rhodotorula mucilaginosa,cell,318807
4109,TFCN_152C-6,Rhodotorula taiwanensis,cell,3441246
4109,TFCN_273H-1,Rhodotorula mucilaginosa,cell,321145
4109,TFCN_209-6-4,Rhodotorula mucilaginosa,cell,496790
4109,TFCN_25-332M-2,Rhodotorula mucilaginosa,cell,398307
4109,TFCN_98C-8,Rhodotorula mucilaginosa,cell,261665
4109,TFCN_25-335C-1,Rhodotorula diobovata,cell,905741
4109,TFCN_54D-2,Rhodotorula mucilaginosa,cell,709575
4109,TFCN_152D-6,Rhodotorula toruloides,cell,554065
4109,TFCN_25-0-2E332-1,Rhodotorula mucilaginosa,cell,557974
4109,TFCN_25-0-2E333-9,Rhodotorula mucilaginosa,cell,553544
4109,TFCN_17-0-2E334-10,Rhodotorula mucilaginosa,cell,395419
4109,TFCN_357-1,Rhodotorula taiwanensis,cell,3167068
4109,TFCN_17-328C-3,Rhodotorula sp_clade_I,cell,393627
4109,TFCN_4M-1-3,Rhodotorula mucilaginosa,cell,361705
4109,TFCN_17-334Y-6,Rhodotorula diobovata,cell,0
4109,TFCN_25-333P-5,Rhodotorula paludigena,cell,0
4109,TFCN_222A-2,Rhodotorula sp_clade_I,cell,0
4109,TFCN_25-333Y-2,Rhodotorula sp_clade_I,cell,0
4109,TFCN_98A-10,Rhodotorula mucilaginosa,cell,0
4109,TFCN_17-334D-6,Rhodotorula mucilaginosa,cell,0
4109,TFCN_17-0-2E334-4,Rhodotorula mucilaginosa,cell,210840
4109,TFCN_363-1-2,Rhodotorula mucilaginosa,cell,328042
4109,TFCN_25-0-2E333-7,Rhodotorula mucilaginosa,cell,261752
4109,TFCN_141C-2,Rhodotorula mucilaginosa,cell,156459
4109,TFCN_25-335Y-1,Rhodotorula mucilaginosa,cell,648890
4109,TFCN_213-6-4,Rhodotorula mucilaginosa,cell,491410
4109,TFCN_98C-3,Rhodotorula mucilaginosa,cell,552220
4109,TFCN_17-333D-2,Rhodotorula mucilaginosa,cell,290686
4109,TFCN_17-332C-2,Rhodotorula mucilaginosa,cell,0
4109,TFCN_86A-6,Rhodotorula sphaerocarpa,cell,1137440
4109,TFCN_0520-4-2-2,Rhodotorula taiwanensis,cell,2305178
4109,TFCN_25-333D-5,Rhodotorula sp_clade_I,cell,620303
4109,TFCN_130D-4,Rhodotorula mucilaginosa,cell,465857
4109,TFCN_152C-2,Rhodotorula toruloides,cell,510452
4109,TFCN_98D-9,Rhodotorula mucilaginosa,cell,319101
4109,TFCN_17-325D-4,Rhodotorula mucilaginosa,cell,367547
4109,TFCN_17-332P-2,Rhodotorula mucilaginosa,cell,388569
4109,TFCN_342-3,Rhodotorula mucilaginosa,cell,314815
4109,TFCN_86A-8,Rhodotorula sphaerocarpa,cell,1396070
4109,TFCN_3M-1-1,Rhodotorula mucilaginosa,cell,548161
4109,TFCN_152C-5,Rhodotorula mucilaginosa,cell,353607
4109,TFCN_98D-7,Rhodotorula mucilaginosa,cell,501056
4109,TFCN_25-337M-3,Rhodotorula mucilaginosa,cell,421019
4109,TFCN_25-0-2E333-5,Rhodotorula mucilaginosa,cell,166221
4109,TFCN_0520-4-2-1,Rhodotorula taiwanensis,cell,5091718
4109,TFCN_48A-2,Rhodotorula paludigena,cell,316310
4109,TFCN_1A-1-2,Rhodotorula mucilaginosa,cell,298046
4109,TFCN_152A-1,Rhodotorula mucilaginosa,cell,191693
4109,TFCN_152A-5,Rhodotorula mucilaginosa,cell,418864
4109,TFCN_186DK3-2,Rhodotorula sp_clade_XI,cell,316638
4109,TFCN_102D-2,Rhodotorula mucilaginosa,cell,238861
4109,TFCN_25-327D-1,Rhodotorula mucilaginosa,cell,497333
4109,TFCN_17-334Y-5,Rhodotorula mucilaginosa,cell,193181
4109,TFCN_17-334C-1,Rhodotorula mucilaginosa,cell,258798
4109,DBVPG_3238,Rhodotorula mucilaginosa,cell,1607588
4109,DBVPG_3444,Rhodotorula mucilaginosa,cell,191851
4109,DBVPG_3775,Rhodotorula mucilaginosa,cell,4692100
4109,DBVPG_3983,Rhodotorula mucilaginosa,cell,647447
4109,TFCN_7-9-3,Rhodotorula diobovata,cell,4584810
4109,DBVPG_4378,Rhodotorula mucilaginosa,cell,86864
4109,DBVPG_4618,Rhodotorula mucilaginosa,cell,163646
4109,TFCN_106A-1,Rhodotorula mucilaginosa,cell,379957
4109,TFCN_17-0-2E337-3,Rhodotorula mucilaginosa,cell,218905
4109,DBVPG_3239,Rhodotorula mucilaginosa,cell,1177873
4109,DBVPG_3538,Rhodotorula mucilaginosa,cell,835764
4109,DBVPG_3776,Rhodotorula mucilaginosa,cell,0
4109,DBVPG_3984,Rhodotorula mucilaginosa,cell,0
4109,DBVPG_4379,Rhodotorula mucilaginosa,cell,248366
4109,TFCN_25-395P-1,Rhodotorula mucilaginosa,cell,375101
4109,TFCN_25-332D-1,Rhodotorula mucilaginosa,cell,316042
4109,TFCN_25-333P-2,Rhodotorula mucilaginosa,cell,235049
4109,TFCN_181A-1,Rhodotorula mucilaginosa,cell,270728
4109,DBVPG_3768,Rhodotorula dairenensis,cell,2743149
4109,DBVPG_3777,Rhodotorula mucilaginosa,cell,8216906
4109,DBVPG_3985,Rhodotorula glutinis,cell,763499
4109,DBVPG_4380,Rhodotorula mucilaginosa,cell,257990
