perm,n_raw_matches,n_distinct_rows
0,211,209
1,232,227
2,238,230
3,276,274
4,262,259
5,261,261
6,215,213
7,254,249
8,210,209
9,234,229
10,243,239
11,219,209
12,224,224
13,225,217
14,246,241
15,248,243
16,242,236
17,230,228
18,217,210
19,260,256
20,197,196
21,187,185
22,210,208
23,271,267
24,235,231
25,213,213
26,210,202
27,228,217
28,218,216
29,195,194
30,248,248
31,201,199
32,273,262
33,210,207
34,273,267
35,237,227
36,200,195
37,211,204
38,204,201
39,211,207
40,182,181
41,266,260
42,205,197
43,225,213
44,207,195
45,246,235
46,248,240
47,212,212
48,246,241
49,207,204
50,238,234
51,246,244
52,244,241
53,182,179
54,195,193
55,226,224
56,227,218
57,199,199
58,222,221
59,259,256
60,226,226
61,243,240
62,226,220
63,218,210
64,217,211
65,239,239
66,247,238
67,232,230
68,249,244
69,232,225
70,218,208
71,231,230
72,179,178
73,222,220
74,202,201
75,244,241
76,242,240
77,245,239
78,244,238
79,301,299
80,227,224
81,235,230
82,206,206
83,264,256
84,271,269
85,190,185
86,258,249
87,199,199
88,221,217
89,236,229
90,254,252
91,244,239
92,244,240
93,267,259
94,212,212
95,273,269
96,191,183
97,230,220
98,228,219
99,201,201
100,201,198
101,229,227
102,203,198
103,219,208
104,210,206
105,173,164
106,214,212
107,238,234
108,203,199
109,246,230
110,282,277
111,231,221
112,209,206
113,253,248
114,221,218
115,234,231
116,226,217
117,240,235
118,241,238
119,203,199
120,257,251
121,172,166
122,238,236
123,251,249
124,262,258
125,256,240
126,239,239
127,232,228
128,225,219
129,249,249
130,230,220
131,212,206
132,271,268
133,176,175
134,183,180
135,235,231
136,265,260
137,238,235
138,243,240
139,236,231
140,283,276
141,237,233
142,229,221
143,240,231
144,217,212
145,260,251
146,232,231
147,255,235
148,233,231
149,223,216
150,219,211
151,216,212
152,223,221
153,230,229
154,208,208
155,254,249
156,234,232
157,229,226
158,213,210
159,187,187
160,237,237
161,261,248
162,208,207
163,241,234
164,205,196
165,220,210
166,256,249
167,265,258
168,295,286
169,184,184
170,201,197
171,265,254
172,208,204
173,238,231
174,280,272
175,256,243
176,231,223
177,248,244
178,234,230
179,233,229
180,260,249
181,240,235
182,214,214
183,202,200
184,223,220
185,240,229
186,193,190
187,247,233
188,224,222
189,221,221
190,249,249
191,201,196
192,238,232
193,251,233
194,264,255
195,210,198
196,284,268
197,256,248
198,151,148
199,228,226
