compound,amino_acid,acyl_n,category,formula,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,is_default_adduct,total_scans,dedup_group_id,is_group_representative,sirius_npc_class,sirius_structure_name,sirius_formula
N-C4:0-glycine,glycine,4,short_medium_chain,C6H11N1O3,[M+Na]+,168.06311392240002,4852,168.0651,11.817450918452556,2.616865,True,False,True,43,asid_4852,True,Pyridine alkaloids,Pyridoxal,C8H9NO3
N-C4:0-glycine,glycine,4,short_medium_chain,C6H11N1O3,[M+Na]+,168.06311392240002,6006,168.0652,12.412465479764878,2.705141,True,True,True,21,asid_12916,True,Pyridine alkaloids,Pyridoxal,C8H9NO3
N-C5:0-glycine,glycine,5,short_medium_chain,C7H13N1O3,[M+Na]+,182.07876398620002,14557,182.0807,10.632836897650625,0.549883,True,False,True,37,asid_14557,True,Aminoacids,L-Tyr,C9H11NO3
N-C5:0-glycine,glycine,5,short_medium_chain,C7H13N1O3,[M+Na]+,182.07876398620002,26822,182.0807,10.632836897650625,3.192396,True,False,True,19,asid_26822,True,Piperidine alkaloids,4-Acetamido-3-methylbutanoic acid,C9H11NO3
N-C4:0-alanine,alanine,4,short_medium_chain,C7H13N1O3,[M+Na]+,182.07876398620002,14557,182.0807,10.632836897650625,0.549883,True,False,True,37,asid_14557,True,Aminoacids,L-Tyr,C9H11NO3
N-C4:0-alanine,alanine,4,short_medium_chain,C7H13N1O3,[M+Na]+,182.07876398620002,26822,182.0807,10.632836897650625,3.192396,True,False,True,19,asid_26822,True,Piperidine alkaloids,4-Acetamido-3-methylbutanoic acid,C9H11NO3
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,[M+NH4]+,191.13901890280002,17521,191.1425,18.212383949531564,5.528395,True,True,False,10,asid_12414,False,,,
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,[M+NH4]+,191.13901890280002,22455,191.1424,17.689204535002013,3.008345,True,False,False,24,asid_22919,True,,,
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,[M+NH4]+,191.13901890280002,17521,191.1425,18.212383949531564,5.528395,True,True,False,10,asid_12414,False,,,
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,[M+NH4]+,191.13901890280002,22455,191.1424,17.689204535002013,3.008345,True,False,False,24,asid_22919,True,,,
N-C4:0-serine,serine,4,short_medium_chain,C7H13N1O4,[M+NH4]+,193.11828346110002,6751,193.1219,18.727066309694887,5.143,True,True,True,8,asid_842,False,,,
N-C5:0-alanine,alanine,5,short_medium_chain,C8H15N1O3,[M+Na]+,196.09441405,43305,196.0964,10.12751948900714,1.145774,True,False,True,20,asid_43305,True,,,
N-C6:0-glycine,glycine,6,short_medium_chain,C8H15N1O3,[M+Na]+,196.09441405,43305,196.0964,10.12751948900714,1.145774,True,False,True,20,asid_43305,True,,,
N-C4:0-isoleucine,isoleucine,4,short_medium_chain,C10H19N1O3,[M+H]+,202.1437699295,20748,202.1434,-1.8300316656355673,2.517572,True,False,True,7,asid_20748,True,,,
N-C5:0-valine,valine,5,short_medium_chain,C10H19N1O3,[M+H]+,202.1437699295,20748,202.1434,-1.8300316656355673,2.517572,True,False,True,7,asid_20748,True,,,
N-C7:0-alanine,alanine,7,short_medium_chain,C10H19N1O3,[M+H]+,202.1437699295,20748,202.1434,-1.8300316656355673,2.517572,True,False,True,7,asid_20748,True,,,
N-C8:0-glycine,glycine,8,short_medium_chain,C10H19N1O3,[M+H]+,202.1437699295,20748,202.1434,-1.8300316656355673,2.517572,True,False,True,7,asid_20748,True,,,
N-C4:0-leucine,leucine,4,short_medium_chain,C10H19N1O3,[M+H]+,202.1437699295,20748,202.1434,-1.8300316656355673,2.517572,True,False,True,7,asid_20748,True,,,
N-C4:0-asparagine,asparagine,4,short_medium_chain,C8H14N2O4,[M+H]+,203.1026333973,25097,203.1065,19.037678809663877,5.037,True,True,False,9,asid_19887,False,Cinnamic acids and derivatives,"1-[4-hydroxy-3-(3-methylbuta-1,3-dien-1-yl)phenyl]ethan-1-one",C13H14O2
N-C4:0-asparagine,asparagine,4,short_medium_chain,C8H14N2O4,[M+H]+,203.1026333973,26305,203.1063,18.05295499460921,5.199,True,False,True,7,asid_26305,True,Noreudesmane sesquiterpenoids,"1-[4-hydroxy-3-(3-methylbuta-1,3-dien-1-yl)phenyl]ethan-1-one",C13H14O2
N-C4:0-proline,proline,4,short_medium_chain,C9H15N1O3,[M+NH4]+,203.1390189028,36960,203.1421,15.167431725580908,4.240602,True,False,False,6,asid_6671,False,Menthane monoterpenoids,,C14H18O
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,9317,204.124,4.730050199477471,1.284738,True,False,True,18,asid_9317,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,12459,204.1237,3.260348356496749,1.53,True,False,True,13,asid_12459,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,14837,204.124,4.730050199477471,2.182764,True,True,True,7,asid_688,False,Purine alkaloids,Isopentenyladenine,C10H13N5
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,25883,204.1226,-2.128558401470536,0.5372,True,False,False,34,asid_25883,True,,,
N-C5:0-homoserine,homoserine,5,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,52278,204.1226,-2.128558401470536,1.693745,True,False,True,8,asid_52278,True,Aminoacids,2-(1-Carboxyethylamino)-4-methylpentanoic acid,C9H17NO4
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,9317,204.124,4.730050199477471,1.284738,True,False,True,18,asid_9317,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,12459,204.1237,3.260348356496749,1.53,True,False,True,13,asid_12459,True,Purine alkaloids,Isopentenyladenine,C9H17NO4
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,14837,204.124,4.730050199477471,2.182764,True,True,True,7,asid_688,False,Purine alkaloids,Isopentenyladenine,C10H13N5
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,25883,204.1226,-2.128558401470536,0.5372,True,False,False,34,asid_25883,True,,,
N-C6:0-serine,serine,6,short_medium_chain,C9H17N1O4,[M+H]+,204.1230344878,52278,204.1226,-2.128558401470536,1.693745,True,False,True,8,asid_52278,True,Aminoacids,2-(1-Carboxyethylamino)-4-methylpentanoic acid,C9H17NO4
