compound,headgroup,acyl_n,formula,neutral_mass,adduct,target_mz
N-C8:0-ethanolamine,ethanolamine,8,C10H21N1O2,187.1572289193,[M+H]+,188.1645053712
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,201.1728789831,[M+H]+,202.180155435
N-C8:0-ethanolamine,ethanolamine,8,C10H21N1O2,187.1572289193,[M+NH4]+,205.1910544721
N-C8:0-ethanolamine,ethanolamine,8,C10H21N1O2,187.1572289193,[M+Na]+,210.1464496193
N-C10:0-ethanolamine,ethanolamine,10,C12H25N1O2,215.1885290469,[M+H]+,216.19580549879998
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,201.1728789831,[M+NH4]+,219.2067045359
N-C9:0-ethanolamine,ethanolamine,9,C11H23N1O2,201.1728789831,[M+Na]+,224.1620996831
N-C8:0-GABA,GABA,8,C12H23N1O3,229.1677936052,[M+H]+,230.1750700571
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,229.2041791107,[M+H]+,230.2114555626
N-C10:0-ethanolamine,ethanolamine,10,C12H25N1O2,215.1885290469,[M+NH4]+,233.2223545997
N-C10:0-ethanolamine,ethanolamine,10,C12H25N1O2,215.1885290469,[M+Na]+,238.1777497469
N-C9:0-GABA,GABA,9,C13H25N1O3,243.18344366899998,[M+H]+,244.19072012089998
N-C12:0-ethanolamine,ethanolamine,12,C14H29N1O2,243.2198291745,[M+H]+,244.2271056264
N-C8:0-GABA,GABA,8,C12H23N1O3,229.1677936052,[M+NH4]+,247.201619158
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,229.2041791107,[M+NH4]+,247.23800466350002
N-C8:0-taurine,taurine,8,C10H21N1O4S1,251.1191288535,[M+H]+,252.1264053054
N-C8:0-GABA,GABA,8,C12H23N1O3,229.1677936052,[M+Na]+,252.1570143052
N-C11:0-ethanolamine,ethanolamine,11,C13H27N1O2,229.2041791107,[M+Na]+,252.19339981070001
N-C10:0-GABA,GABA,10,C14H27N1O3,257.1990937328,[M+H]+,258.2063701847
N-C13:0-ethanolamine,ethanolamine,13,C15H31N1O2,257.2354792383,[M+H]+,258.2427556902
N-C9:0-GABA,GABA,9,C13H25N1O3,243.18344366899998,[M+NH4]+,261.2172692218
N-C12:0-ethanolamine,ethanolamine,12,C14H29N1O2,243.2198291745,[M+NH4]+,261.2536547273
N-C9:0-taurine,taurine,9,C11H23N1O4S1,265.13477891729997,[M+H]+,266.14205536919997
N-C9:0-GABA,GABA,9,C13H25N1O3,243.18344366899998,[M+Na]+,266.17266436899996
N-C12:0-ethanolamine,ethanolamine,12,C14H29N1O2,243.2198291745,[M+Na]+,266.2090498745
N-C8:0-taurine,taurine,8,C10H21N1O4S1,251.1191288535,[M+NH4]+,269.1529544063
N-C11:0-GABA,GABA,11,C15H29N1O3,271.21474379660003,[M+H]+,272.22202024850003
N-C14:0-ethanolamine,ethanolamine,14,C16H33N1O2,271.2511293021,[M+H]+,272.258405754
N-C8:0-taurine,taurine,8,C10H21N1O4S1,251.1191288535,[M+Na]+,274.1083495535
N-C10:0-GABA,GABA,10,C14H27N1O3,257.1990937328,[M+NH4]+,275.2329192856
N-C13:0-ethanolamine,ethanolamine,13,C15H31N1O2,257.2354792383,[M+NH4]+,275.2693047911
N-C10:0-taurine,taurine,10,C12H25N1O4S1,279.1504289811,[M+H]+,280.157705433
N-C10:0-GABA,GABA,10,C14H27N1O3,257.1990937328,[M+Na]+,280.1883144328
N-C8:0-dopamine,dopamine,8,C16H25N1O3,279.183443669,[M+H]+,280.1907201209
N-C13:0-ethanolamine,ethanolamine,13,C15H31N1O2,257.2354792383,[M+Na]+,280.2246999383
N-C9:0-taurine,taurine,9,C11H23N1O4S1,265.13477891729997,[M+NH4]+,283.1686044701
N-C12:0-GABA,GABA,12,C16H31N1O3,285.2303938604,[M+H]+,286.2376703123
N-C15:0-ethanolamine,ethanolamine,15,C17H35N1O2,285.2667793659,[M+H]+,286.2740558178
N-C8:0-tryptamine,tryptamine,8,C18H26N2O1,286.2045134619,[M+H]+,287.2117899138
N-C9:0-taurine,taurine,9,C11H23N1O4S1,265.13477891729997,[M+Na]+,288.12399961729994
N-C11:0-GABA,GABA,11,C15H29N1O3,271.21474379660003,[M+NH4]+,289.24856934940004
N-C14:0-ethanolamine,ethanolamine,14,C16H33N1O2,271.2511293021,[M+NH4]+,289.28495485490004
N-C11:0-taurine,taurine,11,C13H27N1O4S1,293.1660790449,[M+H]+,294.1733554968
N-C11:0-GABA,GABA,11,C15H29N1O3,271.21474379660003,[M+Na]+,294.2039644966
N-C9:0-dopamine,dopamine,9,C17H27N1O3,293.1990937328,[M+H]+,294.2063701847
N-C14:0-ethanolamine,ethanolamine,14,C16H33N1O2,271.2511293021,[M+Na]+,294.2403500021
N-C10:0-taurine,taurine,10,C12H25N1O4S1,279.1504289811,[M+NH4]+,297.1842545339
N-C8:0-dopamine,dopamine,8,C16H25N1O3,279.183443669,[M+NH4]+,297.2172692218
N-C13:0-GABA,GABA,13,C17H33N1O3,299.2460439242,[M+H]+,300.2533203761
N-C16:0-ethanolamine,ethanolamine,16,C18H37N1O2,299.2824294297,[M+H]+,300.2897058816
N-C9:0-tryptamine,tryptamine,9,C19H28N2O1,300.2201635257,[M+H]+,301.2274399776
N-C10:0-taurine,taurine,10,C12H25N1O4S1,279.1504289811,[M+Na]+,302.13964968109997
N-C8:0-dopamine,dopamine,8,C16H25N1O3,279.183443669,[M+Na]+,302.17266436899996
N-C8:0-serotonin,serotonin,8,C18H26N2O2,302.199428084,[M+H]+,303.2067045359
N-C12:0-GABA,GABA,12,C16H31N1O3,285.2303938604,[M+NH4]+,303.2642194132
N-C15:0-ethanolamine,ethanolamine,15,C17H35N1O2,285.2667793659,[M+NH4]+,303.3006049187
N-C8:0-tryptamine,tryptamine,8,C18H26N2O1,286.2045134619,[M+NH4]+,304.2383390147
N-C12:0-taurine,taurine,12,C14H29N1O4S1,307.18172910870004,[M+H]+,308.18900556060004
N-C12:0-GABA,GABA,12,C16H31N1O3,285.2303938604,[M+Na]+,308.2196145604
N-C10:0-dopamine,dopamine,10,C18H29N1O3,307.2147437966,[M+H]+,308.2220202485
N-C15:0-ethanolamine,ethanolamine,15,C17H35N1O2,285.2667793659,[M+Na]+,308.25600006589997
N-C8:0-tryptamine,tryptamine,8,C18H26N2O1,286.2045134619,[M+Na]+,309.19373416189995
N-C11:0-taurine,taurine,11,C13H27N1O4S1,293.1660790449,[M+NH4]+,311.1999045977
N-C9:0-dopamine,dopamine,9,C17H27N1O3,293.1990937328,[M+NH4]+,311.2329192856
N-C14:0-GABA,GABA,14,C18H35N1O3,313.261693988,[M+H]+,314.2689704399
N-C17:0-ethanolamine,ethanolamine,17,C19H39N1O2,313.2980794935,[M+H]+,314.3053559454
N-C10:0-tryptamine,tryptamine,10,C20H30N2O1,314.2358135895,[M+H]+,315.2430900414
N-C11:0-taurine,taurine,11,C13H27N1O4S1,293.1660790449,[M+Na]+,316.1552997449
N-C9:0-dopamine,dopamine,9,C17H27N1O3,293.1990937328,[M+Na]+,316.1883144328
N-C9:0-serotonin,serotonin,9,C19H28N2O2,316.2150781478,[M+H]+,317.2223545997
N-C13:0-GABA,GABA,13,C17H33N1O3,299.2460439242,[M+NH4]+,317.27986947700003
N-C16:0-ethanolamine,ethanolamine,16,C18H37N1O2,299.2824294297,[M+NH4]+,317.3162549825
N-C9:0-tryptamine,tryptamine,9,C19H28N2O1,300.2201635257,[M+NH4]+,318.2539890785
N-C8:0-serotonin,serotonin,8,C18H26N2O2,302.199428084,[M+NH4]+,320.2332536368
N-C13:0-taurine,taurine,13,C15H31N1O4S1,321.1973791725,[M+H]+,322.2046556244
N-C13:0-GABA,GABA,13,C17H33N1O3,299.2460439242,[M+Na]+,322.2352646242
N-C11:0-dopamine,dopamine,11,C19H31N1O3,321.2303938604,[M+H]+,322.2376703123
N-C16:0-ethanolamine,ethanolamine,16,C18H37N1O2,299.2824294297,[M+Na]+,322.2716501297
N-C9:0-tryptamine,tryptamine,9,C19H28N2O1,300.2201635257,[M+Na]+,323.2093842257
N-C8:0-serotonin,serotonin,8,C18H26N2O2,302.199428084,[M+Na]+,325.18864878399995
N-C12:0-taurine,taurine,12,C14H29N1O4S1,307.18172910870004,[M+NH4]+,325.21555466150005
N-C10:0-dopamine,dopamine,10,C18H29N1O3,307.2147437966,[M+NH4]+,325.2485693494
N-C15:0-GABA,GABA,15,C19H37N1O3,327.2773440518,[M+H]+,328.2846205037
N-C18:0-ethanolamine,ethanolamine,18,C20H41N1O2,327.3137295573,[M+H]+,328.3210060092
N-C11:0-tryptamine,tryptamine,11,C21H32N2O1,328.2514636533,[M+H]+,329.2587401052
N-C12:0-taurine,taurine,12,C14H29N1O4S1,307.18172910870004,[M+Na]+,330.1709498087
N-C10:0-dopamine,dopamine,10,C18H29N1O3,307.2147437966,[M+Na]+,330.20396449659995
N-C10:0-serotonin,serotonin,10,C20H30N2O2,330.2307282116,[M+H]+,331.2380046635
N-C14:0-GABA,GABA,14,C18H35N1O3,313.261693988,[M+NH4]+,331.2955195408
N-C17:0-ethanolamine,ethanolamine,17,C19H39N1O2,313.2980794935,[M+NH4]+,331.3319050463
