compound,lcb,fa_variant,acyl_n,formula,neutral_mass,adduct,target_mz
dihydrosphingosine/plain-C14:0-ceramide,dihydrosphingosine,plain,14,C32H65N1O3,511.496444945,[M+H]+,512.5037213969
phytosphingosine/plain-C14:0-ceramide,phytosphingosine,plain,14,C32H65N1O4,527.4913595671001,[M+H]+,528.4986360190001
dihydrosphingosine/2-hydroxy-C14:0-ceramide,dihydrosphingosine,2-hydroxy,14,C32H65N1O4,527.4913595671001,[M+H]+,528.4986360190001
dihydrosphingosine/plain-C14:0-ceramide,dihydrosphingosine,plain,14,C32H65N1O3,511.496444945,[M+NH4]+,529.5302704978
dihydrosphingosine/plain-C14:0-ceramide,dihydrosphingosine,plain,14,C32H65N1O3,511.496444945,[M+Na]+,534.485665645
dihydrosphingosine/plain-C16:0-ceramide,dihydrosphingosine,plain,16,C34H69N1O3,539.5277450726,[M+H]+,540.5350215245
phytosphingosine/2-hydroxy-C14:0-ceramide,phytosphingosine,2-hydroxy,14,C32H65N1O5,543.4862741892,[M+H]+,544.4935506411
phytosphingosine/plain-C14:0-ceramide,phytosphingosine,plain,14,C32H65N1O4,527.4913595671001,[M+NH4]+,545.5251851199
dihydrosphingosine/2-hydroxy-C14:0-ceramide,dihydrosphingosine,2-hydroxy,14,C32H65N1O4,527.4913595671001,[M+NH4]+,545.5251851199
dihydrosphingosine/2-hydroxy-C14:0-ceramide,dihydrosphingosine,2-hydroxy,14,C32H65N1O4,527.4913595671001,[M+Na]+,550.4805802671001
phytosphingosine/plain-C14:0-ceramide,phytosphingosine,plain,14,C32H65N1O4,527.4913595671001,[M+Na]+,550.4805802671001
phytosphingosine/plain-C16:0-ceramide,phytosphingosine,plain,16,C34H69N1O4,555.5226596947,[M+H]+,556.5299361466
dihydrosphingosine/2-hydroxy-C16:0-ceramide,dihydrosphingosine,2-hydroxy,16,C34H69N1O4,555.5226596947,[M+H]+,556.5299361466
dihydrosphingosine/plain-C16:0-ceramide,dihydrosphingosine,plain,16,C34H69N1O3,539.5277450726,[M+NH4]+,557.5615706254
phytosphingosine/2-hydroxy-C14:0-ceramide,phytosphingosine,2-hydroxy,14,C32H65N1O5,543.4862741892,[M+NH4]+,561.520099742
dihydrosphingosine/plain-C16:0-ceramide,dihydrosphingosine,plain,16,C34H69N1O3,539.5277450726,[M+Na]+,562.5169657726001
phytosphingosine/2-hydroxy-C14:0-ceramide,phytosphingosine,2-hydroxy,14,C32H65N1O5,543.4862741892,[M+Na]+,566.4754948892
dihydrosphingosine/plain-C18:0-ceramide,dihydrosphingosine,plain,18,C36H73N1O3,567.5590452002,[M+H]+,568.5663216521
phytosphingosine/2-hydroxy-C16:0-ceramide,phytosphingosine,2-hydroxy,16,C34H69N1O5,571.5175743168,[M+H]+,572.5248507687
phytosphingosine/plain-C16:0-ceramide,phytosphingosine,plain,16,C34H69N1O4,555.5226596947,[M+NH4]+,573.5564852475
dihydrosphingosine/2-hydroxy-C16:0-ceramide,dihydrosphingosine,2-hydroxy,16,C34H69N1O4,555.5226596947,[M+NH4]+,573.5564852475
phytosphingosine/plain-C16:0-ceramide,phytosphingosine,plain,16,C34H69N1O4,555.5226596947,[M+Na]+,578.5118803947
