compound,category,formula,neutral_mass,adduct,target_mz
C4-HSL,short_medium_chain,C8H13NO3,171.0895432862,[M+H]+,172.0968197381
3-oxo-C4-HSL,short_medium_chain,C8H11NO4,185.06880784450001,[M+H]+,186.0760842964
C5-HSL,short_medium_chain,C9H15NO3,185.10519334999998,[M+H]+,186.11246980189998
3-hydroxy-C4-HSL,short_medium_chain,C8H13NO4,187.0844579083,[M+H]+,188.0917343602
C4-HSL,short_medium_chain,C8H13NO3,171.0895432862,[M+NH4]+,189.12336883900002
C4-HSL,short_medium_chain,C8H13NO3,171.0895432862,[M+Na]+,194.07876398620002
3-oxo-C5-HSL,short_medium_chain,C9H13NO4,199.08445790829998,[M+H]+,200.09173436019998
C6-HSL,short_medium_chain,C10H17NO3,199.1208434138,[M+H]+,200.1281198657
3-hydroxy-C5-HSL,short_medium_chain,C9H15NO4,201.10010797209998,[M+H]+,202.10738442399997
3-oxo-C4-HSL,short_medium_chain,C8H11NO4,185.06880784450001,[M+NH4]+,203.10263339730002
C5-HSL,short_medium_chain,C9H15NO3,185.10519334999998,[M+NH4]+,203.1390189028
3-hydroxy-C4-HSL,short_medium_chain,C8H13NO4,187.0844579083,[M+NH4]+,205.11828346110002
3-oxo-C4-HSL,short_medium_chain,C8H11NO4,185.06880784450001,[M+Na]+,208.05802854450002
C5-HSL,short_medium_chain,C9H15NO3,185.10519334999998,[M+Na]+,208.09441404999998
3-hydroxy-C4-HSL,short_medium_chain,C8H13NO4,187.0844579083,[M+Na]+,210.0736786083
3-oxo-C6-HSL,short_medium_chain,C10H15NO4,213.1001079721,[M+H]+,214.107384424
C7-HSL,short_medium_chain,C11H19NO3,213.1364934776,[M+H]+,214.1437699295
3-hydroxy-C6-HSL,short_medium_chain,C10H17NO4,215.1157580359,[M+H]+,216.1230344878
3-oxo-C5-HSL,short_medium_chain,C9H13NO4,199.08445790829998,[M+NH4]+,217.1182834611
C6-HSL,short_medium_chain,C10H17NO3,199.1208434138,[M+NH4]+,217.1546689666
3-hydroxy-C5-HSL,short_medium_chain,C9H15NO4,201.10010797209998,[M+NH4]+,219.1339335249
3-oxo-C5-HSL,short_medium_chain,C9H13NO4,199.08445790829998,[M+Na]+,222.07367860829999
C6-HSL,short_medium_chain,C10H17NO3,199.1208434138,[M+Na]+,222.1100641138
3-hydroxy-C5-HSL,short_medium_chain,C9H15NO4,201.10010797209998,[M+Na]+,224.08932867209998
3-oxo-C7-HSL,short_medium_chain,C11H17NO4,227.1157580359,[M+H]+,228.1230344878
C8-HSL,short_medium_chain,C12H21NO3,227.1521435414,[M+H]+,228.1594199933
3-hydroxy-C7-HSL,short_medium_chain,C11H19NO4,229.1314080997,[M+H]+,230.1386845516
3-oxo-C6-HSL,short_medium_chain,C10H15NO4,213.1001079721,[M+NH4]+,231.13393352490002
C7-HSL,short_medium_chain,C11H19NO3,213.1364934776,[M+NH4]+,231.1703190304
3-hydroxy-C6-HSL,short_medium_chain,C10H17NO4,215.1157580359,[M+NH4]+,233.1495835887
3-oxo-C6-HSL,short_medium_chain,C10H15NO4,213.1001079721,[M+Na]+,236.0893286721
C7-HSL,short_medium_chain,C11H19NO3,213.1364934776,[M+Na]+,236.1257141776
3-hydroxy-C6-HSL,short_medium_chain,C10H17NO4,215.1157580359,[M+Na]+,238.1049787359
3-oxo-C8-HSL,short_medium_chain,C12H19NO4,241.1314080997,[M+H]+,242.1386845516
C9-HSL,short_medium_chain,C13H23NO3,241.1677936052,[M+H]+,242.1750700571
3-hydroxy-C8-HSL,short_medium_chain,C12H21NO4,243.1470581635,[M+H]+,244.1543346154
3-oxo-C7-HSL,short_medium_chain,C11H17NO4,227.1157580359,[M+NH4]+,245.1495835887
C8-HSL,short_medium_chain,C12H21NO3,227.1521435414,[M+NH4]+,245.1859690942
3-hydroxy-C7-HSL,short_medium_chain,C11H19NO4,229.1314080997,[M+NH4]+,247.1652336525
3-oxo-C7-HSL,short_medium_chain,C11H17NO4,227.1157580359,[M+Na]+,250.1049787359
C8-HSL,short_medium_chain,C12H21NO3,227.1521435414,[M+Na]+,250.1413642414
3-hydroxy-C7-HSL,short_medium_chain,C11H19NO4,229.1314080997,[M+Na]+,252.1206287997
3-oxo-C9-HSL,short_medium_chain,C13H21NO4,255.1470581635,[M+H]+,256.1543346154
C10-HSL,short_medium_chain,C14H25NO3,255.18344366899998,[M+H]+,256.1907201209
3-hydroxy-C9-HSL,short_medium_chain,C13H23NO4,257.1627082273,[M+H]+,258.1699846792
3-oxo-C8-HSL,short_medium_chain,C12H19NO4,241.1314080997,[M+NH4]+,259.1652336525
C9-HSL,short_medium_chain,C13H23NO3,241.1677936052,[M+NH4]+,259.20161915799997
3-hydroxy-C8-HSL,short_medium_chain,C12H21NO4,243.1470581635,[M+NH4]+,261.1808837163
3-oxo-C8-HSL,short_medium_chain,C12H19NO4,241.1314080997,[M+Na]+,264.1206287997
C9-HSL,short_medium_chain,C13H23NO3,241.1677936052,[M+Na]+,264.1570143052
3-hydroxy-C8-HSL,short_medium_chain,C12H21NO4,243.1470581635,[M+Na]+,266.13627886349997
3-oxo-C10-HSL,short_medium_chain,C14H23NO4,269.1627082273,[M+H]+,270.1699846792
C11-HSL,short_medium_chain,C15H27NO3,269.1990937328,[M+H]+,270.2063701847
3-hydroxy-C10-HSL,short_medium_chain,C14H25NO4,271.1783582911,[M+H]+,272.185634743
3-oxo-C9-HSL,short_medium_chain,C13H21NO4,255.1470581635,[M+NH4]+,273.1808837163
C10-HSL,short_medium_chain,C14H25NO3,255.18344366899998,[M+NH4]+,273.2172692218
3-hydroxy-C9-HSL,short_medium_chain,C13H23NO4,257.1627082273,[M+NH4]+,275.1965337801
3-oxo-C9-HSL,short_medium_chain,C13H21NO4,255.1470581635,[M+Na]+,278.13627886349997
C10-HSL,short_medium_chain,C14H25NO3,255.18344366899998,[M+Na]+,278.17266436899996
3-hydroxy-C9-HSL,short_medium_chain,C13H23NO4,257.1627082273,[M+Na]+,280.1519289273
3-oxo-C11-HSL,short_medium_chain,C15H25NO4,283.1783582911,[M+H]+,284.185634743
C12-HSL,long_chain,C16H29NO3,283.21474379660003,[M+H]+,284.22202024850003
3-hydroxy-C11-HSL,short_medium_chain,C15H27NO4,285.1940083549,[M+H]+,286.2012848068
3-oxo-C10-HSL,short_medium_chain,C14H23NO4,269.1627082273,[M+NH4]+,287.1965337801
C11-HSL,short_medium_chain,C15H27NO3,269.1990937328,[M+NH4]+,287.2329192856
3-hydroxy-C10-HSL,short_medium_chain,C14H25NO4,271.1783582911,[M+NH4]+,289.2121838439
3-oxo-C10-HSL,short_medium_chain,C14H23NO4,269.1627082273,[M+Na]+,292.1519289273
C11-HSL,short_medium_chain,C15H27NO3,269.1990937328,[M+Na]+,292.1883144328
3-hydroxy-C10-HSL,short_medium_chain,C14H25NO4,271.1783582911,[M+Na]+,294.16757899109996
3-oxo-C12-HSL,long_chain,C16H27NO4,297.1940083549,[M+H]+,298.2012848068
C13-HSL,long_chain,C17H31NO3,297.2303938604,[M+H]+,298.2376703123
3-hydroxy-C12-HSL,long_chain,C16H29NO4,299.20965841870003,[M+H]+,300.2169348706
3-oxo-C11-HSL,short_medium_chain,C15H25NO4,283.1783582911,[M+NH4]+,301.2121838439
C12-HSL,long_chain,C16H29NO3,283.21474379660003,[M+NH4]+,301.24856934940004
3-hydroxy-C11-HSL,short_medium_chain,C15H27NO4,285.1940083549,[M+NH4]+,303.2278339077
3-oxo-C11-HSL,short_medium_chain,C15H25NO4,283.1783582911,[M+Na]+,306.16757899109996
C12-HSL,long_chain,C16H29NO3,283.21474379660003,[M+Na]+,306.2039644966
3-hydroxy-C11-HSL,short_medium_chain,C15H27NO4,285.1940083549,[M+Na]+,308.1832290549
3-oxo-C13-HSL,long_chain,C17H29NO4,311.20965841870003,[M+H]+,312.2169348706
C14-HSL,long_chain,C18H33NO3,311.24604392419997,[M+H]+,312.25332037609996
3-hydroxy-C13-HSL,long_chain,C17H31NO4,313.2253084825,[M+H]+,314.2325849344
3-oxo-C12-HSL,long_chain,C16H27NO4,297.1940083549,[M+NH4]+,315.2278339077
C13-HSL,long_chain,C17H31NO3,297.2303938604,[M+NH4]+,315.2642194132
3-hydroxy-C12-HSL,long_chain,C16H29NO4,299.20965841870003,[M+NH4]+,317.24348397150004
3-oxo-C12-HSL,long_chain,C16H27NO4,297.1940083549,[M+Na]+,320.1832290549
C13-HSL,long_chain,C17H31NO3,297.2303938604,[M+Na]+,320.2196145604
3-hydroxy-C12-HSL,long_chain,C16H29NO4,299.20965841870003,[M+Na]+,322.1988791187
3-oxo-C14-HSL,long_chain,C18H31NO4,325.2253084825,[M+H]+,326.2325849344
C15-HSL,long_chain,C19H35NO3,325.261693988,[M+H]+,326.2689704399
3-hydroxy-C14-HSL,long_chain,C18H33NO4,327.24095854629996,[M+H]+,328.24823499819996
3-oxo-C13-HSL,long_chain,C17H29NO4,311.20965841870003,[M+NH4]+,329.24348397150004
C14-HSL,long_chain,C18H33NO3,311.24604392419997,[M+NH4]+,329.279869477
3-hydroxy-C13-HSL,long_chain,C17H31NO4,313.2253084825,[M+NH4]+,331.2591340353
3-oxo-C13-HSL,long_chain,C17H29NO4,311.20965841870003,[M+Na]+,334.1988791187
C14-HSL,long_chain,C18H33NO3,311.24604392419997,[M+Na]+,334.23526462419994
3-hydroxy-C13-HSL,long_chain,C17H31NO4,313.2253084825,[M+Na]+,336.2145291825
3-oxo-C15-HSL,long_chain,C19H33NO4,339.2409585463,[M+H]+,340.2482349982
C16-HSL,long_chain,C20H37NO3,339.2773440518,[M+H]+,340.2846205037
3-hydroxy-C15-HSL,long_chain,C19H35NO4,341.2566086101,[M+H]+,342.263885062
