species,n_strains,species_missing_mean,species_missing_sd,n_replicates_mean,n_replicates_sd,L*_mean,L*_sd,a*_mean,a*_sd,b*_mean,b*_sd,C*_mean,C*_sd,h_deg_mean,h_deg_sd,area_mean,area_sd,L_z_mean,L_z_sd,a_z_mean,a_z_sd,b_z_mean,b_z_sd,orange_score_mean,orange_score_sd
Cystobasidium sp.,1,0.0,,1.0,,78.0228236979914,,7.032129320587277,,0.590445056433625,,7.056873822460636,,4.799519890086923,,31691.5,,,,,,,,,
Pseudomicrostroma phylloplanum,1,0.0,,1.0,,75.22988192149478,,10.897701620934896,,2.053186958055009,,11.089430882766449,,10.669766544664006,,39271.0,,,,,,,,,
Rhodotorula araucariae,1,0.0,,1.0,,78.80873699367484,,4.962276260984472,,1.6057026683572673,,5.215598407613424,,17.930640941870983,,42051.0,,-2.770212529971883,,-2.166494951661425,,-0.9361492249809652,,-5.872856706614273,
Rhodotorula dairenensis,8,0.0,0.0,1.0,0.0,75.49765015200197,1.5503884871184956,8.377654145972109,2.0116690584648946,5.933840815999237,2.659037229618019,10.427845992714964,2.7009445410248314,33.32979571668496,12.805090500100611,39768.875,15583.007452602247,-0.441655096621213,1.0903273785586032,-0.6452695095454606,0.8960069005264233,1.482239728117005,1.4857627096510129,0.39531512195033125,1.9075023386062189
Rhodotorula diobovata,10,0.0,0.0,1.0,0.0,76.11048883318023,1.3399184693482862,8.154263173502951,1.4721841767775845,4.463102145523127,0.8439698499502878,9.342529247225176,1.3824640445568483,28.994245581054418,6.231751634403076,26341.2,8757.220789471712,-0.8726404904629156,0.9423120748800506,-0.7447689038446483,0.6557177860284453,0.6604503045258876,0.4715762972999185,-0.9569590897816764,1.4702491101493433
Rhodotorula evergladensis,1,0.0,,1.0,,74.86840962891222,,11.45228074225843,,4.2949462735213935,,12.231160929852024,,20.55754087566848,,36561.0,,0.0008650689525168,,0.7241836990836312,,0.5664915884740198,,1.291540356510168,
Rhodotorula glutinis,3,0.0,0.0,1.0,0.0,72.43532338921798,0.8971121898710913,5.806568369789415,4.6061172514805175,5.946896743747787,2.408848583808903,8.509790671994926,4.6922049596221,53.49774117518758,21.130548381020958,8696.0,12793.750466536387,1.7119591357456365,0.6309037962949956,-1.790443258483565,2.0515863802715884,1.4895348537258626,1.3459673896830147,1.4110507309879345,3.9592796073412093
Rhodotorula graminis,3,0.0,0.0,1.0,0.0,76.78326401886709,1.137167232695977,6.721322060391379,1.9283617989386375,3.80686077529873,1.6726490120374569,7.9024875414050335,1.5313094837428671,29.817525310153044,15.353438093835774,20826.5,15355.870953807862,-1.345776875739208,0.7997250870409611,-1.383007643956179,0.8589014536412222,0.29376910670386275,0.9346087752132991,-2.435015412991524,1.720659435155683
Rhodotorula kratochvilovae,3,0.0,0.0,1.0,0.0,75.84235230987144,1.6856452332540408,4.754728512011585,1.3562368821379611,6.512678185407008,1.7601013359581603,8.09165462639465,2.0636506144331777,53.77481263635582,6.308830454008691,23940.0,1122.315909180655,-0.6840705965401073,1.185448140013962,-2.258937699381739,0.6040743133323194,1.8056706935954756,0.9834736050496109,-1.1373376023263708,2.651387111975553
Rhodotorula mucilaginosa,219,0.0,0.0,1.0,0.0,74.86528709362842,1.2381167766682428,10.258576176719998,1.7704366522059418,3.005324321249391,1.6109200156767793,10.798672319600076,1.8378809675443997,17.98268833488631,23.87363894471687,34196.93607305936,6918.816885459423,0.003061025474848359,0.8707189395885507,0.19250204726734366,0.7885608473453122,-0.15409712118775892,0.9001171028608771,0.041465951554433084,1.9738198098482453
