compound,category,adduct,target_mz,row_id,observed_mz,ppm_error,rt_min,has_ms2,is_isf,is_default_adduct,total_scans,dedup_group_id,is_group_representative,sirius_npc_class,sirius_structure_name
N5-acetyl-N5-hydroxyornithine,precursor,[M+H]+,191.1026333973,9872,191.1062,18.663283894104318,4.734,True,True,False,14,asid_1258,False,,
N5-acetyl-N5-hydroxyornithine,precursor,[M+H]+,191.1026333973,22163,191.1062,18.663283894104318,5.634,True,True,False,17,asid_789,False,Apocarotenoids(ε-),"6-hydroxy-2,6-dimethylocta-2,7-dien-4-one"
N5-acetyl-N5-hydroxyornithine,precursor,[M+K]+,229.0585148518,18492,229.0603,7.793415587143522,2.698423,True,False,True,12,asid_18492,True,,
rhodotorulic_acid,primary_target,[M+H]+,425.2394612261,6918,425.238,-3.436242948332996,1.808262,True,False,True,31,asid_6918,True,,
rhodotorulic_acid,primary_target,[M+H]+,425.2394612261,44922,425.2365,-6.9636672275765035,1.648,True,False,True,18,asid_44922,True,,
rhodotorulic_acid,primary_target,[M+NH4]+,442.266010327,1621,442.2649,-2.510541108893248,0.987423,True,False,True,114,asid_1621,True,,
rhodotorulic_acid,primary_target,[M+NH4]+,442.266010327,2190,442.2647,-2.9627576377166243,0.534218,True,False,False,164,asid_12288,True,,
rhodotorulic_acid,primary_target,[M+NH4]+,442.266010327,3783,442.2648,-2.7366493733692,1.222,True,True,True,64,asid_7552,True,,
rhodotorulic_acid,primary_target,[M+NH4]+,442.266010327,16371,442.2572,-19.92087746801485,5.180317,True,False,True,13,asid_16371,True,,
rhodotorulic_acid,primary_target,[M+Na]+,447.22140547419997,5985,447.2223,2.0001855660306838,2.700762,True,False,False,77,asid_5985,True,,
rhodotorulic_acid,primary_target,[M+Na]+,447.22140547419997,7524,447.2223,2.0001855660306838,2.504534,True,False,False,39,asid_7524,True,,
rhodotorulic_acid,primary_target,[M+Na]+,447.22140547419997,16553,447.2228,3.118200030159506,2.612734,True,False,True,7,asid_16553,True,,
rhodotorulic_acid,primary_target,[M+Na]+,447.22140547419997,17857,447.2265,11.391507064865317,0.780518,True,False,True,25,asid_17857,True,Tripeptides,2-[[2-[(2-amino-4-carboxybutanoyl)amino]-3-(1H-indol-3-yl)propanoyl]amino]-4-methylpentanoic acid
rhodotorulic_acid,primary_target,[M+Na]+,447.22140547419997,50594,447.2201,-2.91907807628866,1.800763,True,False,True,7,asid_50594,True,,
rhodotorulic_acid,primary_target,[M+K]+,463.1953426806,3827,463.1958,0.9873143313157045,3.208,True,True,False,60,asid_13126,True,,
rhodotorulic_acid,primary_target,[M+K]+,463.1953426806,49862,463.1967,2.9303390491226304,2.965259,True,False,True,27,asid_49862,True,,
dimerumic_acid,related_siderophore,[M+H]+,488.2602562467,2120,488.27,19.956064773473702,1.182483,True,False,True,158,asid_2120,True,,
dimerumic_acid,related_siderophore,[M+H]+,488.2602562467,5296,488.2569,-6.873888785944411,3.019412,True,False,False,81,asid_1609,False,,
dimerumic_acid,related_siderophore,[M+H]+,488.2602562467,12819,488.2531,-14.656623406137655,4.897,True,False,False,19,asid_3481,False,,
dimerumic_acid,related_siderophore,[M+H]+,488.2602562467,28730,488.2657,11.149286124203497,1.568962,True,False,True,7,asid_28730,True,,
dimerumic_acid,related_siderophore,[M+H]+,488.2602562467,29195,488.2664,12.582947764771538,4.56495,True,False,True,7,asid_29195,True,,
dimerumic_acid,related_siderophore,[M+NH4]+,505.2868053476,3463,505.2837,-6.145712825167114,1.787393,True,False,True,47,asid_1056,False,,
dimerumic_acid,related_siderophore,[M+NH4]+,505.2868053476,5981,505.2839,-5.749898016844435,1.253513,True,False,True,16,asid_1542,False,,
dimerumic_acid,related_siderophore,[M+Na]+,510.2422004948,3775,510.2328,-18.42359332660963,1.935209,True,False,True,85,asid_3775,True,,
dimerumic_acid,related_siderophore,[M+Na]+,510.2422004948,8894,510.2424,0.39100097913020204,1.579308,True,False,True,20,asid_8894,True,,
dimerumic_acid,related_siderophore,[M+Na]+,510.2422004948,23116,510.2385,-7.252427957569642,3.031,True,False,False,41,asid_1609,False,,
ferrichrome,related_siderophore,[M+H]+,685.3025693037,27225,685.306,5.006104534986295,5.57,True,False,True,7,asid_27225,True,,
ferrichrome,related_siderophore,[M+NH4]+,702.3291184046,713,702.3391,14.212133796669727,4.856,True,False,False,35,asid_713,False,,
ferrichrome,related_siderophore,[M+Na]+,707.2845135518,13901,707.2733,-15.85437201754257,2.439491,True,False,True,21,asid_13901,True,,
