LOCUSTAG,GENUS,SPECIES,STRAIN,has_hydroxylase,has_2module_nrps_candidate,has_both
DBVPG10075,Cystobasidium,Cystobasidium sp.,DBVPG 10075,True,False,False
DBVPG6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,True,False,False
OM449,Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,True,False,False
DBVPG3768,Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,True,False,False
DBVPG3769,Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,True,False,False
DBVPG3770,Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,True,False,False
DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,True,False,False
DBVPG3772,Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,True,False,False
DBVPG3773,Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,True,False,False
DBVPG3853,Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,True,False,False
OM447,Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504,True,False,False
TFCN7W2923,Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,True,False,False
DBVPG6195,Rhodotorula,Rhodotorula diobovata,DBVPG 6195,True,False,False
DBVPG6202,Rhodotorula,Rhodotorula diobovata,DBVPG 6202,True,False,False
OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,True,False,False
TFCN17334Y6,Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6,True,False,False
TFCN25335C1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1,True,False,False
TFCN25335P1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1,True,False,False
TFCN792,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2,True,False,False
TFCN793,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3,True,False,False
DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,True,False,False
DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081,True,False,False
DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,True,False,False
DBVPG7021,Rhodotorula,Rhodotorula graminis,DBVPG 7021,True,False,False
OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,True,False,False
DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,True,False,False
DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,True,False,False
DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,True,False,False
DBVPG10619,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10619,True,False,False
DBVPG10780,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10780,True,False,False
DBVPG10842,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10842,True,False,False
DBVPG10882,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10882,True,False,False
DBVPG10886,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10886,True,False,False
DBVPG10937,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 10937,True,False,False
DBVPG3044,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3044,True,False,False
DBVPG3045,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3045,True,False,False
DBVPG3090,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3090,True,False,False
DBVPG3235,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3235,True,False,False
DBVPG3236,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3236,True,False,False
DBVPG3237,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3237,True,False,False
DBVPG3238,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3238,True,False,False
DBVPG3381,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3381,True,False,False
DBVPG3382,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3382,True,False,False
DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383,True,False,False
DBVPG3384,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3384,True,False,False
DBVPG3442,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3442,True,False,False
DBVPG3443,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3443,True,False,False
DBVPG3444,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3444,True,False,False
