species_prefix,protein_id,pfam_acc,full_seq_e_value,LOCUSTAG,GENUS,SPECIES,STRAIN
TFCN17332M1,TFCN17332M1_001173-T1,PF00743.26,1.1e-32,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_001080-T1,PF00743.26,1.5e-31,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_001080-T1,PF00743.26,1.5e-31,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_001079-T1,PF00743.26,5.4e-24,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_003977-T1,PF00743.26,3.3e-22,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_004487-T1,PF00743.26,5e-17,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_002458-T1,PF00743.26,3.9e-15,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_006856-T1,PF00743.26,4e-15,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_004690-T1,PF00743.26,2.5e-14,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_004689-T1,PF00743.26,3.8e-14,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN17332M1,TFCN17332M1_002097-T1,PF00743.26,1e-09,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN137D4,TFCN137D4_000288-T1,PF00743.26,1.3e-36,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_000288-T1,PF00743.26,1.3e-36,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_000288-T1,PF00743.26,1.3e-36,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_000287-T1,PF00743.26,1.8e-35,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_000287-T1,PF00743.26,1.8e-35,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_004273-T1,PF00743.26,2.7e-34,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_004451-T1,PF00743.26,3.7e-22,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_002350-T1,PF00743.26,1.4e-17,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_005085-T1,PF00743.26,3.5e-16,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_005700-T1,PF00743.26,7e-15,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_000899-T1,PF00743.26,8.4e-14,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_005701-T1,PF00743.26,2.4e-12,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN137D4,TFCN137D4_005333-T1,PF00743.26,4.2e-10,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN25333P2,TFCN25333P2_001449-T1,PF00743.26,1.2e-36,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_001449-T1,PF00743.26,1.2e-36,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_001449-T1,PF00743.26,1.2e-36,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_001450-T1,PF00743.26,1.7e-35,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_001450-T1,PF00743.26,1.7e-35,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_001546-T1,PF00743.26,2.6e-34,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_003542-T1,PF00743.26,3.7e-22,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_004366-T1,PF00743.26,4.5e-17,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_007046-T1,PF00743.26,3.4e-16,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_005768-T1,PF00743.26,6.8e-15,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_002721-T1,PF00743.26,8.2e-14,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_005767-T1,PF00743.26,2.3e-12,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
TFCN25333P2,TFCN25333P2_007164-T1,PF00743.26,4.1e-10,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
DBVPG3776,DBVPG3776_003464-T1,PF00743.26,1.3e-36,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_003464-T1,PF00743.26,1.3e-36,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_003464-T1,PF00743.26,1.3e-36,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_003465-T1,PF00743.26,1.8e-35,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_003465-T1,PF00743.26,1.8e-35,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG3776,DBVPG3776_003927-T1,PF00743.26,2.7e-34,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
