species_prefix,protein_id,pfam_acc,hmm_from,hmm_to,ali_from,ali_to,domain_score,domain_type
TFCN17332M1,TFCN17332M1_003108-T1,PF00501.35,2,378,90,477,305.8,adenylation
TFCN17332M1,TFCN17332M1_005125-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN17332M1,TFCN17332M1_006217-T1,PF00501.35,8,384,29,393,265.4,adenylation
TFCN17332M1,TFCN17332M1_000689-T1,PF00501.35,17,384,97,511,262.4,adenylation
TFCN17332M1,TFCN17332M1_001007-T1,PF00501.35,12,384,50,435,256.9,adenylation
TFCN17332M1,TFCN17332M1_004033-T1,PF00501.35,17,384,85,507,244.6,adenylation
TFCN17332M1,TFCN17332M1_002503-T1,PF00501.35,15,384,91,515,239.9,adenylation
TFCN17332M1,TFCN17332M1_000996-T1,PF00501.35,2,384,53,441,234.0,adenylation
TFCN17332M1,TFCN17332M1_000300-T1,PF00501.35,47,383,118,468,191.4,adenylation
TFCN17332M1,TFCN17332M1_000550-T1,PF00501.35,2,383,33,421,196.2,adenylation
TFCN17332M1,TFCN17332M1_002142-T1,PF00501.35,1,384,342,740,193.6,adenylation
TFCN17332M1,TFCN17332M1_003615-T1,PF00501.35,1,370,55,438,171.6,adenylation
TFCN17332M1,TFCN17332M1_002739-T1,PF00501.35,1,195,221,450,88.3,adenylation
TFCN17332M1,TFCN17332M1_002739-T1,PF00501.35,222,383,449,618,79.5,adenylation
TFCN17332M1,TFCN17332M1_004231-T1,PF00501.35,19,377,131,500,160.2,adenylation
TFCN137D4,TFCN137D4_001675-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN137D4,TFCN137D4_002627-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN137D4,TFCN137D4_005849-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN137D4,TFCN137D4_007165-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN137D4,TFCN137D4_000361-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN137D4,TFCN137D4_006128-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN137D4,TFCN137D4_000852-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN137D4,TFCN137D4_005398-T1,PF00501.35,2,384,63,451,234.1,adenylation
TFCN137D4,TFCN137D4_002711-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN137D4,TFCN137D4_001151-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN137D4,TFCN137D4_001556-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN137D4,TFCN137D4_003827-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN137D4,TFCN137D4_006701-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN137D4,TFCN137D4_000380-T1,PF00501.35,19,377,131,500,160.5,adenylation
TFCN25333P2,TFCN25333P2_005007-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN25333P2,TFCN25333P2_004586-T1,PF00501.35,5,384,28,399,290.6,adenylation
TFCN25333P2,TFCN25333P2_006612-T1,PF00501.35,8,384,29,393,264.8,adenylation
TFCN25333P2,TFCN25333P2_000739-T1,PF00501.35,5,384,85,511,263.5,adenylation
TFCN25333P2,TFCN25333P2_001376-T1,PF00501.35,12,384,50,435,254.4,adenylation
TFCN25333P2,TFCN25333P2_002254-T1,PF00501.35,17,384,85,507,244.8,adenylation
TFCN25333P2,TFCN25333P2_002675-T1,PF00501.35,15,384,91,515,240.4,adenylation
TFCN25333P2,TFCN25333P2_003437-T1,PF00501.35,2,384,53,441,234.2,adenylation
TFCN25333P2,TFCN25333P2_000596-T1,PF00501.35,3,383,34,413,205.4,adenylation
TFCN25333P2,TFCN25333P2_005264-T1,PF00501.35,1,383,220,642,200.9,adenylation
TFCN25333P2,TFCN25333P2_001022-T1,PF00501.35,47,383,118,468,190.7,adenylation
TFCN25333P2,TFCN25333P2_002805-T1,PF00501.35,1,384,338,736,193.9,adenylation
TFCN25333P2,TFCN25333P2_007025-T1,PF00501.35,1,372,55,440,172.5,adenylation
TFCN25333P2,TFCN25333P2_003860-T1,PF00501.35,19,377,131,500,162.5,adenylation
DBVPG3776,DBVPG3776_005960-T1,PF00501.35,2,378,90,477,306.8,adenylation
DBVPG3776,DBVPG3776_004458-T1,PF00501.35,5,384,28,399,291.0,adenylation
DBVPG3776,DBVPG3776_007292-T1,PF00501.35,8,384,93,457,264.4,adenylation
DBVPG3776,DBVPG3776_000881-T1,PF00501.35,5,384,85,511,263.5,adenylation
DBVPG3776,DBVPG3776_003390-T1,PF00501.35,12,384,50,435,254.4,adenylation
DBVPG3776,DBVPG3776_003849-T1,PF00501.35,17,384,85,507,244.8,adenylation
DBVPG3776,DBVPG3776_003624-T1,PF00501.35,15,384,91,515,240.4,adenylation
DBVPG3776,DBVPG3776_000544-T1,PF00501.35,2,384,53,441,234.2,adenylation
DBVPG3776,DBVPG3776_007019-T1,PF00501.35,3,383,34,413,205.4,adenylation
DBVPG3776,DBVPG3776_002044-T1,PF00501.35,1,383,220,642,200.9,adenylation
DBVPG3776,DBVPG3776_000267-T1,PF00501.35,47,383,118,468,190.7,adenylation
DBVPG3776,DBVPG3776_004948-T1,PF00501.35,1,384,338,736,193.9,adenylation
DBVPG3776,DBVPG3776_000463-T1,PF00501.35,1,372,55,440,172.2,adenylation
DBVPG3776,DBVPG3776_001483-T1,PF00501.35,19,377,131,500,160.5,adenylation
DBVPG6739,DBVPG6739_002910-T1,PF00501.35,2,378,91,478,306.3,adenylation
DBVPG6739,DBVPG6739_002710-T1,PF00501.35,5,384,31,402,283.8,adenylation
DBVPG6739,DBVPG6739_004806-T1,PF00501.35,17,384,97,507,264.7,adenylation
DBVPG6739,DBVPG6739_002479-T1,PF00501.35,9,384,30,411,249.3,adenylation
DBVPG6739,DBVPG6739_003831-T1,PF00501.35,14,384,55,441,246.8,adenylation
DBVPG6739,DBVPG6739_006320-T1,PF00501.35,16,384,93,513,230.5,adenylation
DBVPG6739,DBVPG6739_005148-T1,PF00501.35,22,384,92,509,228.1,adenylation
DBVPG6739,DBVPG6739_005825-T1,PF00501.35,2,383,32,413,227.4,adenylation
DBVPG6739,DBVPG6739_007592-T1,PF00501.35,4,384,55,442,223.2,adenylation
DBVPG6739,DBVPG6739_005903-T1,PF00501.35,4,384,60,441,212.2,adenylation
DBVPG6739,DBVPG6739_003932-T1,PF00501.35,3,383,216,626,200.8,adenylation
DBVPG6739,DBVPG6739_001193-T1,PF00501.35,47,383,118,468,187.0,adenylation
DBVPG6739,DBVPG6739_005394-T1,PF00501.35,1,384,344,742,193.8,adenylation
DBVPG6739,DBVPG6739_000629-T1,PF00501.35,20,377,132,500,159.3,adenylation
DBVPG6739,DBVPG6739_004551-T1,PF00501.35,2,310,61,355,155.7,adenylation
DBVPG6739,DBVPG6739_004803-T1,PF00501.35,292,384,1,90,81.7,adenylation
DBVPG6739,DBVPG6739_005318-T1,PF00501.35,262,384,46,163,79.2,adenylation
TFCN404D1,TFCN404D1_012411-T1,PF00501.35,2,378,90,477,307.8,adenylation
TFCN404D1,TFCN404D1_013071-T1,PF00501.35,2,378,90,477,306.8,adenylation
TFCN404D1,TFCN404D1_006483-T1,PF00501.35,5,384,28,399,290.5,adenylation
TFCN404D1,TFCN404D1_010208-T1,PF00501.35,8,384,29,393,269.9,adenylation
TFCN404D1,TFCN404D1_000575-T1,PF00501.35,5,372,28,387,268.3,adenylation
TFCN404D1,TFCN404D1_007722-T1,PF00501.35,8,384,29,393,264.8,adenylation
