species_prefix,protein_id,n_adenylation_domains,is_two_module,LOCUSTAG,GENUS,SPECIES,STRAIN
TFCN17332M1,TFCN17332M1_002739-T1,2,True,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1
TFCN137D4,TFCN137D4_001151-T1,1,False,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4
TFCN25333P2,TFCN25333P2_005264-T1,1,False,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2
DBVPG3776,DBVPG3776_002044-T1,1,False,DBVPG3776,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3776
DBVPG6739,DBVPG6739_005394-T1,1,False,DBVPG6739,Rhodotorula,Rhodotorula toruloides,DBVPG 6739
TFCN404D1,TFCN404D1_006611-T1,1,False,TFCN404D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 404D-1
TFCN86C10,TFCN86C10_003674-T1,1,False,TFCN86C10,Rhodotorula,Rhodotorula sphaerocarpa,TFCN 86C-10
TFCN25334D3,TFCN25334D3_000722-T1,1,False,TFCN25334D3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-334D-3
TFCN25333Y9,TFCN25333Y9_004697-T1,1,False,TFCN25333Y9,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333Y-9
TFCN17267M1,TFCN17267M1_008891-T1,1,False,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
TFCN17267M1,TFCN17267M1_010564-T1,1,False,TFCN17267M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-267M-1
DBVPG3383,DBVPG3383_002907-T1,1,False,DBVPG3383,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3383
DBVPG4962,DBVPG4962_002618-T1,1,False,DBVPG4962,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4962
DBVPG6081,DBVPG6081_006164-T1,1,False,DBVPG6081,Rhodotorula,Rhodotorula glutinis,DBVPG 6081
TFCN0520421,TFCN0520421_006227-T1,1,False,TFCN0520421,Rhodotorula,Rhodotorula taiwanensis,TFCN 0520-4-2-1
TFCN25332D1,TFCN25332D1_003813-T1,1,False,TFCN25332D1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-332D-1
TFCN1702E3902,TFCN1702E3902_010887-T1,1,False,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2
TFCN1702E3902,TFCN1702E3902_008738-T1,1,False,TFCN1702E3902,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E390-2
TFCN1702E33410,TFCN1702E33410_002196-T1,1,False,TFCN1702E33410,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-0-2E334-10
DBVPG6083,DBVPG6083_005759-T1,1,False,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083
DBVPG6083,DBVPG6083_006048-T1,1,False,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083
OM441,OM441_005104-T1,1,False,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474
OM441,OM441_006799-T1,1,False,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474
TFCN25337M3,TFCN25337M3_005460-T1,1,False,TFCN25337M3,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-337M-3
TFCN152C3,TFCN152C3_003715-T1,1,False,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3
TFCN152C3,TFCN152C3_007558-T1,1,False,TFCN152C3,Rhodotorula,Rhodotorula toruloides,TFCN 152C-3
OM440,OM440_005911-T1,1,False,OM440,Rhodotorula,Rhodotorula sphaerocarpa,NRRL Y-7192
DBVPG7922,DBVPG7922_002332-T1,1,False,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922
DBVPG7922,DBVPG7922_002305-T1,1,False,DBVPG7922,Rhodotorula,Rhodotorula evergladensis,DBVPG 7922
TFCN98A5,TFCN98A5_002997-T1,1,False,TFCN98A5,Rhodotorula,Rhodotorula mucilaginosa,TFCN 98A-5
TFCN21362,TFCN21362_003506-T1,1,False,TFCN21362,Rhodotorula,Rhodotorula mucilaginosa,TFCN 213-6-2
DBVPG4378,DBVPG4378_002972-T1,1,False,DBVPG4378,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 4378
TFCN17332P1,TFCN17332P1_003773-T1,1,False,TFCN17332P1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332P-1
DH4148,DH4148_002975-T1,1,False,DH4148,Rhodotorula,Rhodotorula mucilaginosa,DH4148
TFCN209614,TFCN209614_002804-T1,1,False,TFCN209614,Rhodotorula,Rhodotorula mucilaginosa,TFCN 209-6-14
DBVPG5757,DBVPG5757_001925-T1,1,False,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757
DBVPG5757,DBVPG5757_002027-T1,1,False,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757
DBVPG5757,DBVPG5757_001048-T1,1,False,DBVPG5757,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 5757
DBVPG3856,DBVPG3856_010644-T1,1,False,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856
DBVPG3856,DBVPG3856_010166-T1,1,False,DBVPG3856,Rhodotorula,Rhodotorula mucilaginosa,DBVPG 3856
TFCN1A12,TFCN1A12_002400-T1,1,False,TFCN1A12,Rhodotorula,Rhodotorula paludigena,TFCN 1A-1-2
TFCN107A6,TFCN107A6_002733-T1,1,False,TFCN107A6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 107A-6
TFCN25333C2,TFCN25333C2_004635-T1,1,False,TFCN25333C2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333C-2
TFCN17334D6,TFCN17334D6_011410-T1,1,False,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6
TFCN17334D6,TFCN17334D6_010424-T1,1,False,TFCN17334D6,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-334D-6
