strain,species,n_samples,n_present,max_abundance,row_id,dedup_group_id,fraction
DBVPG_10056,,1,0,0.0,2190,asid_12288,cell
DBVPG_10075,Cystobasidium sp.,1,1,219497.0,2190,asid_12288,cell
DBVPG_10348,Rhodotorula sp. clade XI,1,1,247547.0,2190,asid_12288,cell
DBVPG_10383,Rhodotorula kratochvilovae,1,1,324034.0,2190,asid_12288,cell
DBVPG_10619,Rhodotorula mucilaginosa,1,1,356472.0,2190,asid_12288,cell
DBVPG_10753,Rhodotorula kratochvilovae,1,1,303072.0,2190,asid_12288,cell
DBVPG_10780,Rhodotorula mucilaginosa,1,1,388737.0,2190,asid_12288,cell
DBVPG_10842,Rhodotorula mucilaginosa,1,1,159246.0,2190,asid_12288,cell
DBVPG_10882,Rhodotorula mucilaginosa,1,1,417349.0,2190,asid_12288,cell
DBVPG_10886,Rhodotorula mucilaginosa,1,1,562901.0,2190,asid_12288,cell
DBVPG_10937,Rhodotorula mucilaginosa,1,1,449380.0,2190,asid_12288,cell
DBVPG_3044,Rhodotorula mucilaginosa,1,1,208160.0,2190,asid_12288,cell
DBVPG_3045,Rhodotorula mucilaginosa,1,1,72382.0,2190,asid_12288,cell
DBVPG_3090,Rhodotorula mucilaginosa,1,1,238395.0,2190,asid_12288,cell
DBVPG_3235,Rhodotorula mucilaginosa,1,1,189051.0,2190,asid_12288,cell
DBVPG_3236,Rhodotorula mucilaginosa,1,1,171277.0,2190,asid_12288,cell
DBVPG_3237,Rhodotorula mucilaginosa,1,1,92865.0,2190,asid_12288,cell
DBVPG_3238,Rhodotorula mucilaginosa,1,1,183972.0,2190,asid_12288,cell
DBVPG_3239,Rhodotorula mucilaginosa,1,1,247027.0,2190,asid_12288,cell
DBVPG_3381,Rhodotorula mucilaginosa,1,1,200167.0,2190,asid_12288,cell
DBVPG_3382,Rhodotorula mucilaginosa,1,1,124296.0,2190,asid_12288,cell
DBVPG_3383,Rhodotorula mucilaginosa,1,1,111004.0,2190,asid_12288,cell
DBVPG_3384,Rhodotorula mucilaginosa,1,1,105981.0,2190,asid_12288,cell
DBVPG_3442,Rhodotorula mucilaginosa,1,1,211839.0,2190,asid_12288,cell
DBVPG_3443,Rhodotorula mucilaginosa,1,1,236188.0,2190,asid_12288,cell
DBVPG_3444,Rhodotorula mucilaginosa,1,1,140732.0,2190,asid_12288,cell
DBVPG_3445,Rhodotorula mucilaginosa,1,1,100594.0,2190,asid_12288,cell
DBVPG_3446,Rhodotorula mucilaginosa,1,1,165640.0,2190,asid_12288,cell
DBVPG_3538,Rhodotorula mucilaginosa,1,1,208608.0,2190,asid_12288,cell
DBVPG_3768,Rhodotorula dairenensis,1,1,123870.0,2190,asid_12288,cell
DBVPG_3769,Rhodotorula dairenensis,1,1,47672.0,2190,asid_12288,cell
DBVPG_3772,Rhodotorula dairenensis,1,1,137110.0,2190,asid_12288,cell
DBVPG_3773,Rhodotorula dairenensis,1,1,199079.0,2190,asid_12288,cell
DBVPG_3774,Rhodotorula mucilaginosa,1,1,108734.0,2190,asid_12288,cell
DBVPG_3775,Rhodotorula mucilaginosa,1,1,193805.0,2190,asid_12288,cell
DBVPG_3776,Rhodotorula mucilaginosa,1,1,161982.0,2190,asid_12288,cell
DBVPG_3777,Rhodotorula mucilaginosa,1,1,295300.0,2190,asid_12288,cell
DBVPG_3778,Rhodotorula mucilaginosa,1,1,433733.0,2190,asid_12288,cell
DBVPG_3780,Rhodotorula mucilaginosa,1,1,420195.0,2190,asid_12288,cell
DBVPG_3853,Rhodotorula dairenensis,1,1,54396.0,2190,asid_12288,cell
DBVPG_3854,Rhodotorula mucilaginosa,1,1,221422.0,2190,asid_12288,cell
DBVPG_3855,Rhodotorula mucilaginosa,1,1,394105.0,2190,asid_12288,cell
DBVPG_3856,Rhodotorula mucilaginosa,1,1,160876.0,2190,asid_12288,cell
DBVPG_3857,Rhodotorula mucilaginosa,1,1,264380.0,2190,asid_12288,cell
DBVPG_3858,Rhodotorula mucilaginosa,1,1,227655.0,2190,asid_12288,cell
DBVPG_3983,Rhodotorula mucilaginosa,1,1,182738.0,2190,asid_12288,cell
DBVPG_3984,Rhodotorula mucilaginosa,1,1,97876.0,2190,asid_12288,cell
DBVPG_3985,Rhodotorula glutinis,1,1,351983.0,2190,asid_12288,cell
DBVPG_4201,Rhodotorula mucilaginosa,1,1,236048.0,2190,asid_12288,cell
DBVPG_4202,Rhodotorula mucilaginosa,1,1,179315.0,2190,asid_12288,cell
DBVPG_4203,Rhodotorula mucilaginosa,1,1,128502.0,2190,asid_12288,cell
DBVPG_4304,Rhodotorula mucilaginosa,1,1,49839.0,2190,asid_12288,cell
DBVPG_4376,Rhodotorula mucilaginosa,1,1,171505.0,2190,asid_12288,cell
DBVPG_4378,Rhodotorula mucilaginosa,1,1,524320.0,2190,asid_12288,cell
DBVPG_4379,Rhodotorula mucilaginosa,1,1,148838.0,2190,asid_12288,cell
DBVPG_4380,Rhodotorula mucilaginosa,1,1,206731.0,2190,asid_12288,cell
DBVPG_4408,Rhodotorula mucilaginosa,1,1,147408.0,2190,asid_12288,cell
DBVPG_4466,Rhodotorula mucilaginosa,1,1,124314.0,2190,asid_12288,cell
DBVPG_4530,Rhodotorula taiwanensis,1,0,0.0,2190,asid_12288,cell
DBVPG_4531,Rhodotorula taiwanensis,1,1,95756.0,2190,asid_12288,cell
DBVPG_4534,Rhodotorula mucilaginosa,1,1,277876.0,2190,asid_12288,cell
DBVPG_4610,Rhodotorula paludigena,1,1,187379.0,2190,asid_12288,cell
DBVPG_4618,Rhodotorula mucilaginosa,1,1,316072.0,2190,asid_12288,cell
DBVPG_4669,Rhodotorula mucilaginosa,1,1,299835.0,2190,asid_12288,cell
DBVPG_4920,Rhodotorula mucilaginosa,1,1,156792.0,2190,asid_12288,cell
DBVPG_4945,Rhodotorula mucilaginosa,1,1,208960.0,2190,asid_12288,cell
DBVPG_4946,Rhodotorula mucilaginosa,1,1,222741.0,2190,asid_12288,cell
DBVPG_4947,Rhodotorula mucilaginosa,1,1,133918.0,2190,asid_12288,cell
DBVPG_4949,Rhodotorula mucilaginosa,1,1,469645.0,2190,asid_12288,cell
DBVPG_4952,Rhodotorula mucilaginosa,1,1,686331.0,2190,asid_12288,cell
DBVPG_4956,Rhodotorula mucilaginosa,1,1,144277.0,2190,asid_12288,cell
DBVPG_4957,Rhodotorula mucilaginosa,1,1,358403.0,2190,asid_12288,cell
DBVPG_4958,Rhodotorula mucilaginosa,1,1,132307.0,2190,asid_12288,cell
DBVPG_4962,Rhodotorula mucilaginosa,1,1,560684.0,2190,asid_12288,cell
DBVPG_4963,Rhodotorula mucilaginosa,1,1,601206.0,2190,asid_12288,cell
DBVPG_4964,Rhodotorula mucilaginosa,1,1,486039.0,2190,asid_12288,cell
DBVPG_5225,Rhodotorula mucilaginosa,1,1,395795.0,2190,asid_12288,cell
DBVPG_5226,Rhodotorula mucilaginosa,1,1,551656.0,2190,asid_12288,cell
DBVPG_5227,Rhodotorula mucilaginosa,1,1,662094.0,2190,asid_12288,cell
DBVPG_5228,Rhodotorula mucilaginosa,1,1,148883.0,2190,asid_12288,cell
DBVPG_5229,Rhodotorula mucilaginosa,1,1,144671.0,2190,asid_12288,cell
DBVPG_5235,Rhodotorula mucilaginosa,1,1,326236.0,2190,asid_12288,cell
DBVPG_5236,Rhodotorula mucilaginosa,1,1,361182.0,2190,asid_12288,cell
DBVPG_5757,Rhodotorula mucilaginosa,1,1,875882.0,2190,asid_12288,cell
DBVPG_5758,Rhodotorula mucilaginosa,1,1,589969.0,2190,asid_12288,cell
DBVPG_5759,Rhodotorula mucilaginosa,1,1,743717.0,2190,asid_12288,cell
DBVPG_6081,Rhodotorula glutinis,1,1,214710.0,2190,asid_12288,cell
DBVPG_6083,Rhodotorula graminis,1,1,503110.0,2190,asid_12288,cell
DBVPG_6091,Rhodotorula mucilaginosa,1,1,158301.0,2190,asid_12288,cell
DBVPG_6092,Rhodotorula mucilaginosa,1,1,622726.0,2190,asid_12288,cell
DBVPG_6093,Rhodotorula mucilaginosa,1,1,92409.0,2190,asid_12288,cell
DBVPG_6094,Rhodotorula mucilaginosa,1,1,327149.0,2190,asid_12288,cell
DBVPG_6121,Rhodotorula toruloides,1,1,434154.0,2190,asid_12288,cell
DBVPG_6195,Rhodotorula diobovata,1,1,653317.0,2190,asid_12288,cell
DBVPG_6202,Rhodotorula diobovata,1,1,521035.0,2190,asid_12288,cell
DBVPG_6593,Rhodotorula mucilaginosa,1,1,452209.0,2190,asid_12288,cell
DBVPG_6649,Rhodotorula mucilaginosa,1,1,585943.0,2190,asid_12288,cell
DBVPG_6739,Rhodotorula toruloides,1,1,68684.0,2190,asid_12288,cell
DBVPG_6740,Pseudomicrostroma phylloplanum,1,1,681826.0,2190,asid_12288,cell
DBVPG_6741,Rhodotorula mucilaginosa,1,1,423974.0,2190,asid_12288,cell
DBVPG_6742,Rhodotorula mucilaginosa,1,1,116781.0,2190,asid_12288,cell
DBVPG_6743,Rhodotorula mucilaginosa,1,1,155694.0,2190,asid_12288,cell
DBVPG_6803,Rhodotorula mucilaginosa,1,1,250208.0,2190,asid_12288,cell
DBVPG_7019,Rhodotorula mucilaginosa,1,1,535642.0,2190,asid_12288,cell
DBVPG_7021,Rhodotorula graminis,1,1,361194.0,2190,asid_12288,cell
DBVPG_7316,Rhodotorula paludigena,1,0,0.0,2190,asid_12288,cell
DBVPG_7323,Rhodotorula paludigena,1,1,226832.0,2190,asid_12288,cell
DBVPG_7539,Rhodotorula kratochvilovae,1,1,472010.0,2190,asid_12288,cell
DBVPG_7947,Rhodotorula sp. clade XIII,1,1,170490.0,2190,asid_12288,cell
DBVPG_8043,Rhodotorula mucilaginosa,1,1,84219.0,2190,asid_12288,cell
DBVPG_8058,Rhodotorula sp. clade I,1,1,103285.0,2190,asid_12288,cell
JES-025-001,Rhodotorula mucilaginosa,1,1,834734.0,2190,asid_12288,cell
NRRL_Y-12923,Rhodotorula paludigena,1,1,280493.0,2190,asid_12288,cell
NRRL_Y-17376,Rhodotorula araucariae,1,1,257548.0,2190,asid_12288,cell
NRRL_Y-2474,Rhodotorula graminis,1,1,520792.0,2190,asid_12288,cell
NRRL_Y-2504,Rhodotorula dairenensis,1,1,777544.0,2190,asid_12288,cell
NRRL_Y-2510,Rhodotorula mucilaginosa,1,1,97601.0,2190,asid_12288,cell
NRRL_Y-48721,,1,1,468773.0,2190,asid_12288,cell
NRRL_Y-7192,Rhodotorula sphaerocarpa,1,1,434675.0,2190,asid_12288,cell
TFCN_0520-4-2-1,Rhodotorula taiwanensis,1,1,91288.0,2190,asid_12288,cell
TFCN_0520-4-2-2,Rhodotorula taiwanensis,1,1,243328.0,2190,asid_12288,cell
TFCN_100D-1,Rhodotorula mucilaginosa,1,1,526122.0,2190,asid_12288,cell
TFCN_102C-1,Rhodotorula mucilaginosa,1,1,291834.0,2190,asid_12288,cell
TFCN_102C-2,Rhodotorula mucilaginosa,1,1,306180.0,2190,asid_12288,cell
TFCN_102D-1,Rhodotorula mucilaginosa,1,1,674180.0,2190,asid_12288,cell
TFCN_102D-2,Rhodotorula mucilaginosa,1,1,125487.0,2190,asid_12288,cell
TFCN_105A-2,Rhodotorula mucilaginosa,1,1,436189.0,2190,asid_12288,cell
TFCN_106A-1,Rhodotorula mucilaginosa,1,1,270120.0,2190,asid_12288,cell
TFCN_107A-6,Rhodotorula mucilaginosa,1,1,355010.0,2190,asid_12288,cell
TFCN_107C-3,Rhodotorula mucilaginosa,1,1,556003.0,2190,asid_12288,cell
