ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr
1	11	0.27429007349749357	0.7419236650195636	1e-06	0.012001	0.084001	0.6589120476190476	0.00028825
5	14	0.1612774349556499	0.47275161531427967	0.106001	0.35600099999999996	1.0	0.8702371099365749	0.38554937854889587
7	2	0.01510043780013056	0.07029747187620422	0.48600099999999996	0.961001	1.0	0.9964335908273382	0.5016644162936437
8	27	0.1385701336995463	0.4228300925905819	0.28500099999999995	0.36300099999999996	1.0	0.8737042505175983	0.45830704741980466
10	9	0.11305360819761352	0.3090455828652685	0.272001	0.694001	1.0	0.9483505255220418	0.45366783096590907
17	3	0.0984297583810068	0.3269346983153672	0.162001	0.374001	1.0	0.8750879541832669	0.42355363492063497
19	23	0.13891245974340952	0.28041556687084507	0.229001	0.849001	1.0	0.9803963602794412	0.44316830782029953
20	43	0.23860131179545507	0.3936023157130368	0.009000999999999999	0.444001	0.453001	0.8999044477351915	0.2804906216216216
21	4	0.12741674044985288	0.6557298944636464	0.083001	0.204001	1.0	0.8325321842900302	0.37220053684210525
25	5	0.07170089179976559	0.2119224481081053	0.42400099999999996	0.9120010000000001	1.0	0.9861476372912803	0.4875882119402985
28	2	0.06871652907040018	0.35338098262934786	0.277001	0.5370010000000001	1.0	0.9089718082386364	0.45366783096590907
36	4	0.11165589621067186	0.6196435319556439	0.172001	0.200001	1.0	0.8325321842900302	0.42415042917547563
38	28	0.18521241195595628	0.3594844239760781	0.056001	0.36400099999999996	0.998001	0.8737042505175983	0.36356375225225224
44	2	0.011182978029653227	0.03867868815640492	0.48800099999999996	0.984001	1.0	1.0	0.501750579928952
47	2	0.027779440099164655	0.15918852168694814	0.459001	0.831001	1.0	0.9788319768378649	0.494143913003663
48	2	0.05667895091481907	0.2377175826510983	0.326001	0.712001	1.0	0.9490602924855491	0.4606396504263094
52	13	0.13016338924507015	0.36413458938301346	0.231001	0.639001	1.0	0.9392675321563683	0.44316830782029953
