ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr
1	11	0.1464879562497719	0.4482732517735212	0.166001	0.40800099999999995	1.0	0.5315538451977401	0.23199897333333333
5	14	0.18838633063667806	0.8070693799516734	0.015000999999999999	0.024001	1.0	0.07751583473389356	0.05027951453488372
7	2	0.1155017748037658	0.5406886468302156	0.096001	0.28600099999999995	1.0	0.40913046277915627	0.1567835028328612
8	27	0.20416170502631326	0.6681458971830352	0.033001	0.031001	0.990001	0.08718086097560976	0.07877878467908903
10	9	0.16198487513533036	0.8098871107478202	0.053001	0.028001	1.0	0.08385754025974027	0.10646368118466898
17	3	0.15977388713840618	0.7404609674798873	0.024001	0.114001	1.0	0.2154805786885246	0.06526687028301888
19	23	0.2140124364742912	0.9105634158056103	0.025001000000000002	0.004001	0.951001	0.033920242647058826	0.06688202552204177
20	43	0.2692684670174459	1.0276366703888156	0.002001	0.002001	0.188001	0.025635033333333338	0.01747843181818182
21	4	0.1529793623615134	0.8973026297255398	0.052001	0.062001	1.0	0.14240468725099603	0.10555836795774647
25	5	0.21790500219384595	1.0072004113959139	0.004001	0.012001	0.9160010000000001	0.05647817551020408	0.025071483695652177
28	2	0.11048698745122326	0.8799362433031389	0.134001	0.094001	1.0	0.19081541021126758	0.19961647674418606
36	4	0.1862081473065455	0.6559564832603552	0.010001	0.148001	1.0	0.2577721344410876	0.040178233449477345
38	28	0.20816390818256297	0.901590016910184	0.024001	0.004001	0.976001	0.033920242647058826	0.06526687028301888
44	2	0.23062664566040875	2.7132530128081536	0.001001	0.001001	0.732001	0.017226164179104476	0.011315225490196078
47	2	0.16461325712684882	1.1164928531982508	0.022001	0.037001	1.0	0.0987549837962963	0.06294578908188586
48	2	0.1012873450510164	0.6935340936280432	0.145001	0.165001	1.0	0.27692307569141195	0.21216516878172587
52	13	0.21883824719014863	0.8078850160495035	0.007001	0.011000999999999999	0.9070010000000001	0.053975119148936164	0.03405971729957806
54	2	0.06081687926293223	0.2084790986516188	0.196001	0.374001	1.0	0.4991008715277777	0.26035616705069126
56	6	0.16402628645191575	0.8073078407992007	0.028001	0.031001	1.0	0.08718086097560976	0.0719045723830735
58	2	0.1362830373327183	0.796672421609911	0.047001	0.111001	1.0	0.21295200166389353	0.09943514311926606
