ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr
1	11	0.13833751439311429	0.433916438081069	0.195001	0.456001	1.0	0.989019058888889	0.49743824095238093
5	14	0.12796208530805692	0.43007089914281693	0.210001	0.41700099999999996	1.0	0.989019058888889	0.49743824095238093
7	2	0.0545288269094789	0.20649853844332722	0.34900099999999995	0.743001	1.0	0.989019058888889	0.49743824095238093
8	27	0.12120777035546496	0.3351433990808278	0.391001	0.760001	1.0	0.989019058888889	0.49743824095238093
10	9	0.07986604399043103	0.31650794452547265	0.42900099999999997	0.745001	1.0	0.989019058888889	0.49743824095238093
17	3	0.04448029703073583	0.1759222232924086	0.43600099999999997	0.868001	1.0	0.9932013022136671	0.49743824095238093
19	23	0.14045607512429403	0.4032842552560943	0.250001	0.460001	1.0	0.989019058888889	0.49743824095238093
20	43	0.18929535813977877	0.6018207008167051	0.082001	0.097001	1.0	0.989019058888889	0.477676919047619
21	4	0.05075359606444893	0.19222783899627938	0.47400099999999995	0.865001	1.0	0.9932013022136671	0.499356377034358
25	5	0.11774378361358054	0.4722847656733212	0.177001	0.35300099999999995	1.0	0.989019058888889	0.49743824095238093
28	2	0.06532343671559263	0.3578845035135074	0.29700099999999996	0.5350010000000001	1.0	0.989019058888889	0.49743824095238093
36	4	0.10075277741743317	0.49826075065487974	0.235001	0.328001	1.0	0.989019058888889	0.49743824095238093
38	28	0.20106992945795227	0.42180380467241674	0.029001000000000002	0.35800099999999996	0.992001	0.989019058888889	0.4135886195652174
44	2	0.08325631600195883	0.6156093917935143	0.196001	0.226001	1.0	0.989019058888889	0.49743824095238093
47	2	0.072093925379658	0.3325807189979509	0.255001	0.5340010000000001	1.0	0.989019058888889	0.49743824095238093
48	2	0.003215397636250776	0.01223066052165223	0.48200099999999996	1.0	1.0	1.0	0.5011245743913435
52	13	0.09000859167182143	0.3408585508600978	0.450001	0.633001	1.0	0.989019058888889	0.49743824095238093
54	2	0.13852778324715542	0.6786381883546245	0.024001	0.041001	1.0	0.909118326923077	0.4135886195652174
56	6	0.0934363211331788	0.33647817122829204	0.36200099999999996	0.689001	1.0	0.989019058888889	0.49743824095238093
58	2	0.11402339872127296	0.5459181344140221	0.087001	0.278001	1.0	0.989019058888889	0.477676919047619
