row ID	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class	source_run
562	C14H24N4O6	[M + H]+	Rhodotorulic Acid	CC(=O)N(CCCC1C(=O)NC(C(=O)N1)CCCN(C(=O)C)O)O	0.969	Amino acids and Peptides	Dipeptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
46831	C32H50N4O7	[M + K]+	Desferrioxamine D1	CC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)C)O)O)O	0.44	Amino acids and Peptides	Cyclic peptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
6976	C32H44N8O5	[M + H]+	Desferrioxamine X5	C1CCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCNC(=O)CCC(=O)NCC1)O)O	0.129	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
11834	C30H50O11	[M + Na]+	Proferrioxamine-D2	C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	0.115	Amino acids and Peptides	Aminoglycosides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
67	C31H52O12	[M + Na]+	desferrioxamine h	C1CCNC(=O)CCC(=O)N(CCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)N(CC1)O)O)O)O	0.063	Carbohydrates	Aminoglycosides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
47668	C38H50N2O4	[M + K]+	Desferrioxamine X5	C1CCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCNC(=O)CCC(=O)NCC1)O)O	0.059	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
249	C29H46N6O10	[M + H]+	desferrioxamine h	C1CCNC(=O)CCC(=O)N(CCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)N(CC1)O)O)O)O	0.058	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
7498	C28H48N4O3S	[M + K]+	Desferrioxamine X2	C1CCN(C(=O)CCC(=O)NCCCCN(C(=O)CCC(=O)NCCCCN(C(=O)CCC(=O)NC1)O)O)O	0.056	Amino acids and Peptides	Cyclic peptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
11582	C30H48N4O5S	[M + Na]+	Deferoxamine	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O	0.056	Amino acids and Peptides	Cyclic peptides	Fatty Acyls	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
4253	C42H75N7O9	[M + H]+	N-Stearoyldesferrioxamine	CCCCCCCCCCCCCCCCCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCCCCCCN(C(=O)C)O)O)O	0.03	Amino acids and Peptides	Depsipeptides	Carboxylic acids and derivatives	this_project_own_sirius_run
4788	C18H34N4O7	[M + H]+	ddesferrioxamine[-00]	C(CCN)CCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)O)O)O	0.028	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	sibling:phenotype_metabolite_association/sirius_annotation_color_all;sibling:phenotype_metabolite_association/sirius_annotation_color_all (container)
3295	C21H36N2O5	[M + Na]+	ddesferrioxamine[-00]	C(CCN)CCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)O)O)O	0.018	Amino acids and Peptides	Tripeptides	Carboxylic acids and derivatives	/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/Rhodotorula_pheno_MS/analysis/sirius_annotation/sirius_results/merged
