row_ID	compound_name	sirius_confidence	species	strain	n_samples	n_detected	mean_peak_area	max_peak_area	detection_rate
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_209-6-14	2	2	80774815.0	160899392	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_209-6-12	2	2	80326799.0	160063200	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4408	2	2	79812338.0	159296176	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4380	2	2	77249689.0	153641472	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_17-332M-1	2	2	75987626.0	151534864	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4957	2	2	71219141.5	141460176	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4949	2	2	69465531.0	138305792	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	TFCN_43A-4	2	2	68188862.5	135227680	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	DBVPG_7316	2	2	67400643.5	134193672	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4920	2	2	64986211.5	129529248	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	TFCN_48A-15	2	2	64268276.0	128012776	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4946	2	2	63533421.0	126753768	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_3442	2	1	62786964.0	125573928	0.5
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4202	2	2	62631225.5	124837936	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula toruloides	DBVPG_6121	2	2	62437941.0	124096896	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_3381	2	2	61497476.0	122550280	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_25-334D-3	2	2	60428641.5	120231672	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_3777	2	2	55503064.0	110558088	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	NRRL_Y-12923	2	2	55387640.0	109716280	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_3044	2	2	53873181.5	107223680	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_6091	2	2	52293835.0	104050712	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula kratochvilovae	DBVPG_7539	2	2	51063587.0	101297760	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_138A-1	2	2	50973085.0	100946152	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4201	2	2	50935824.0	101458592	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	DBVPG_4945	2	2	50551131.5	100822616	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula dairenensis	DBVPG_3772	2	2	50265171.0	100271952	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula diobovata	TFCN_7-9-3	2	2	50251496.0	99431688	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_25-333Y-10	2	2	48858448.5	96551144	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	TFCN_209-6-5	2	2	48808388.5	96520808	1.0
