row_ID	compound_name	sirius_confidence	species	source	n_samples	n_detected	mean_peak_area	median_peak_area	max_peak_area	detection_rate
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	cell_pellett	10	9	84134886.0	89056024.0	135227680	0.9
562	Rhodotorulic Acid	0.969	Rhodotorula kratochvilovae	cell_pellett	3	3	69829507.33333333	76555040.0	101297760	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	cell_pellett	208	204	54395377.60576923	44921096.0	160899392	0.9807692307692307
562	Rhodotorulic Acid	0.969	Pseudomicrostroma phylloplanum	cell_pellett	1	1	54235360.0	54235360.0	54235360	1.0
562	Rhodotorulic Acid	0.969	Cystobasidium sp.	cell_pellett	1	1	50757388.0	50757388.0	50757388	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula diobovata	cell_pellett	9	9	50015987.0	46527588.0	99431688	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula pacifica	cell_pellett	3	3	46406715.333333336	46772544.0	73055864	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade XIII	cell_pellett	1	1	45201232.0	45201232.0	45201232	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula dairenensis	cell_pellett	7	7	42432812.428571425	38006776.0	100271952	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sphaerocarpa	cell_pellett	6	6	41352945.166666664	33826563.0	85792240	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula taiwanensis	cell_pellett	6	6	38168386.333333336	37207906.0	60409824	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula toruloides	cell_pellett	10	10	33517079.1	28358461.0	124096896	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula glutinis	cell_pellett	2	2	28587214.0	28587214.0	57130508	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula graminis	cell_pellett	3	3	27195528.666666668	24744414.0	35695908	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade XI	cell_pellett	2	2	26975879.0	26975879.0	31570178	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade I	cell_pellett	5	4	22800205.8	23174796.0	50373440	0.8
562	Rhodotorulic Acid	0.969	Rhodotorula araucariae	cell_pellett	1	1	18291294.0	18291294.0	18291294	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula diobovata	supernatant	9	9	1108706.4444444445	1071304.0	2007810	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula kratochvilovae	supernatant	3	3	950700.0	829414.0	1634424	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula paludigena	supernatant	10	10	854620.9	713013.0	2182451	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula pacifica	supernatant	3	3	784273.6666666666	644754.0	1107054	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade XI	supernatant	2	2	751918.5	751918.5	869935	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula toruloides	supernatant	10	10	687023.3	692826.0	911239	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula mucilaginosa	supernatant	208	204	671778.3317307692	625440.5	2130632	0.9807692307692307
562	Rhodotorulic Acid	0.969	Cystobasidium sp.	supernatant	1	1	657892.0	657892.0	657892	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula araucariae	supernatant	1	1	619330.0	619330.0	619330	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sphaerocarpa	supernatant	6	6	606476.6666666666	560751.5	1088294	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula dairenensis	supernatant	8	8	584350.375	370717.0	1251974	1.0
562	Rhodotorulic Acid	0.969	Pseudomicrostroma phylloplanum	supernatant	1	1	569872.0	569872.0	569872	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula taiwanensis	supernatant	6	6	504237.0	369936.0	1173323	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula graminis	supernatant	3	3	491991.0	511225.0	547797	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade XIII	supernatant	1	1	450914.0	450914.0	450914	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula sp. clade I	supernatant	5	5	445382.6	420169.0	650440	1.0
562	Rhodotorulic Acid	0.969	Rhodotorula glutinis	supernatant	2	2	412530.5	412530.5	538964	1.0
46831	Desferrioxamine D1	0.44	Rhodotorula kratochvilovae	cell_pellett	3	3	228703.0	245242.0	340937	1.0
46831	Desferrioxamine D1	0.44	Rhodotorula sp. clade I	cell_pellett	5	5	208587.6	202946.0	328006	1.0
46831	Desferrioxamine D1	0.44	Rhodotorula diobovata	cell_pellett	9	8	164074.33333333334	110863.0	395438	0.8888888888888888
46831	Desferrioxamine D1	0.44	Rhodotorula pacifica	cell_pellett	3	3	160745.66666666666	177946.0	196857	1.0
46831	Desferrioxamine D1	0.44	Pseudomicrostroma phylloplanum	cell_pellett	1	1	157835.0	157835.0	157835	1.0
46831	Desferrioxamine D1	0.44	Rhodotorula glutinis	cell_pellett	2	2	141585.5	141585.5	220326	1.0
