ComponentIndex	n_members	max_rho_abs	es	p_maxrho_perm	p_es_perm	p_fdr_max	p_es_fdr	p_maxrho_fdr	trait	sig_es	sig_maxrho	sig_familywise
1	11	0.1622713670768591	0.4317094089905016	0.087001	0.263001	1.0	0.6708852942477875	0.3184512793650793	growth_cell	False	False	False
19	23	0.1565745467347298	0.5193838847648767	0.137001	0.159001	1.0	0.6256061608832807	0.3407176723768736	growth_cell	False	False	False
20	43	0.1625092751436423	0.4248414311599399	0.202001	0.3070009999999999	1.0	0.6873245689320389	0.3692514175824175	growth_cell	False	False	False
25	5	0.074983458102268	0.3012383672312769	0.391001	0.725001	1.0	0.8888994199363732	0.4551632960725075	growth_cell	False	False	False
36	4	0.1132709776874536	0.6432258672590181	0.179001	0.157001	1.0	0.6256061608832807	0.3647471933216168	growth_cell	False	False	False
38	28	0.1043759331386991	0.2255701692438527	0.4270009999999999	0.848001	1.0	0.9457953169082126	0.4702312827125118	growth_cell	False	False	False
44	2	0.1141978811820114	0.8596515594182419	0.083001	0.092001	1.0	0.6088941179775281	0.3107147824675325	growth_cell	False	False	False
52	13	0.227202050428595	0.5018009669599289	0.002001	0.2930009999999999	0.6840010000000001	0.6839461983967936	0.09228612	growth_cell	False	False	False
66	3	0.1928997775679697	1.021352431439643	0.005001	0.029001	0.995001	0.4674480135135135	0.1281367333333333	growth_cell	False	False	False
77	2	0.0851791163310181	0.3275883855244529	0.112001	0.212001	1.0	0.641212125	0.3261616699751861	growth_cell	False	False	False
86	2	0.0812673566376555	0.4166427291251928	0.200001	0.4170009999999999	1.0	0.7524290344287949	0.3689618448	growth_cell	False	False	False
94	19	0.1906210066830151	0.602086803981091	0.039001	0.018001	0.997001	0.4674480135135135	0.2599315202312139	growth_cell	False	False	False
106	2	0.0728763133661669	0.3344728889245341	0.243001	0.5500010000000001	1.0	0.7945782184769039	0.3896803240611961	growth_cell	False	False	False
108	2	0.0852823144355562	0.5629683076988538	0.178001	0.247001	1.0	0.6623073325581394	0.3638921152482269	growth_cell	False	False	False
129	2	0.1280856396982415	0.7109451895213609	0.059001	0.162001	1.0	0.6256061608832807	0.2906771134453781	growth_cell	False	False	False
135	6	0.1155112195889528	0.4006400721004517	0.201001	0.529001	1.0	0.7864751003861005	0.369035275477707	growth_cell	False	False	False
138	2	0.0940181654056773	0.3833482226274385	0.157001	0.451001	1.0	0.7565023784172662	0.3532334354527938	growth_cell	False	False	False
169	2	0.0927506894326116	0.4770496307583094	0.155001	0.3710009999999999	1.0	0.7376113686868687	0.3532334354527938	growth_cell	False	False	False
184	2	0.0184410626664887	0.0507781823987904	0.396001	0.7890010000000001	1.0	0.9156869006024096	0.4570461991991992	growth_cell	False	False	False
297	32	0.2252301412171361	0.6377105923107064	0.008001	0.0110009999999999	0.718001	0.4674480135135135	0.1618447894736842	growth_cell	False	False	False
300	3	0.1128630416282753	0.533370120867077	0.110001	0.2880009999999999	1.0	0.6828240840163934	0.3261616699751861	growth_cell	False	False	False
350	13	0.1138413776158892	0.4412814290771754	0.314001	0.4240009999999999	1.0	0.7529456863636363	0.4118807201365187	growth_cell	False	False	False
351	3	0.1296360185651275	0.7654281688552019	0.090001	0.115001	1.0	0.610112793721973	0.3191373601190476	growth_cell	False	False	False
352	3	0.0704168633936476	0.1985669709310205	0.233001	0.5610010000000001	1.0	0.798997722564735	0.384334982832618	growth_cell	False	False	False
365	2	0.1152367477407741	0.5056698955843126	0.043001	0.088001	1.0	0.6075757664670659	0.2628660777202072	growth_cell	False	False	False
366	2	0.0696380278760141	0.2718098501532776	0.252001	0.643001	1.0	0.8367721817155758	0.3953158544217687	growth_cell	False	False	False
367	2	0.0408553817352663	0.1267100478723355	0.3050009999999999	0.597001	1.0	0.8194549440476191	0.4084392020905923	growth_cell	False	False	False
368	2	0.0549845587419803	0.2612689864920768	0.386001	0.743001	1.0	0.8922605321576763	0.453007261928934	growth_cell	False	False	False
370	31	0.1763604504639997	0.4176941176568099	0.082001	0.337001	1.0	0.7116522948717949	0.3099906655737705	growth_cell	False	False	False
373	2	0.1139253219102174	0.4971542094238235	0.047001	0.101001	1.0	0.610112793721973	0.2656478088235294	growth_cell	False	False	False
427	4	0.1338739445146768	0.7647472062347335	0.094001	0.105001	1.0	0.610112793721973	0.3197143156342182	growth_cell	False	False	False
429	4	0.1396344375669924	0.4337427428170786	0.044001	0.231001	1.0	0.6417931397590362	0.2628660777202072	growth_cell	False	False	False
441	2	0.0042086060392696	0.0107063159471644	0.4880009999999999	0.959001	1.0	0.9925746436265708	0.499259230700976	growth_cell	False	False	False
444	8	0.1265776343035537	0.5082152018602948	0.187001	0.277001	1.0	0.6780937430997878	0.3656782411003236	growth_cell	False	False	False
499	51	0.2023424706491068	0.625256503771484	0.049001	0.063001	0.977001	0.5587704076923077	0.2703260909090909	growth_cell	False	False	False
506	4	0.1009927883058274	0.5360671073963352	0.104001	0.173001	1.0	0.6263245462962963	0.3258509592391304	growth_cell	False	False	False
512	2	0.0797793658788605	0.33348997044028	0.217001	0.5340010000000001	1.0	0.7893630166666668	0.3728795126676602	growth_cell	False	False	False
515	2	0.0914521415867646	0.5927520165429113	0.152001	0.241001	1.0	0.6492386752336449	0.3512167394789579	growth_cell	False	False	False
518	3	0.1274903586116401	0.4427015912859509	0.077001	0.387001	1.0	0.7436869216666666	0.3099906655737705	growth_cell	False	False	False
521	5	0.1564181608954387	0.6176647823427038	0.039001	0.086001	1.0	0.6075757664670659	0.2599315202312139	growth_cell	False	False	False
526	17	0.131946511680585	0.3066261703920416	0.212001	0.4750009999999999	1.0	0.7681337315716272	0.3720504611872146	growth_cell	False	False	False
529	32	0.2079009206024089	0.5957135158740385	0.025001	0.024001	0.946001	0.4674480135135135	0.2528609912280702	growth_cell	False	False	False
572	29	0.1765608169445888	0.5519078047736976	0.089001	0.167001	1.0	0.6256061608832807	0.3191373601190476	growth_cell	False	False	False
574	6	0.0981348922194179	0.4180926460405136	0.316001	0.463001	1.0	0.7582956718749999	0.4140331284090909	growth_cell	False	False	False
576	3	0.0980301163367525	0.4249318359990823	0.196001	0.4140009999999999	1.0	0.7524290344287949	0.3656782411003236	growth_cell	False	False	False
589	3	0.0972101589849911	0.3523576002812422	0.147001	0.3050009999999999	1.0	0.6868479550781249	0.3461362129817444	growth_cell	False	False	False
595	2	0.0751412179977864	0.2862212374662985	0.222001	0.600001	1.0	0.8196696125592416	0.3758695345080763	growth_cell	False	False	False
597	7	0.157599734051777	0.7398941417853069	0.053001	0.063001	1.0	0.5587704076923077	0.2777734227272727	growth_cell	False	False	False
598	5	0.1024449147087422	0.2934368095003081	0.2830009999999999	0.757001	1.0	0.8979651779835391	0.4026363284493284	growth_cell	False	False	False
602	2	0.0676098976853391	0.3047448437691014	0.2860009999999999	0.588001	1.0	0.8168819032258064	0.4026363284493284	growth_cell	False	False	False
604	2	0.1248098410994652	0.9886164640487424	0.074001	0.075001	1.0	0.5838047658227848	0.3099503691756272	growth_cell	False	False	False
616	2	0.0506332683146181	0.236190699734009	0.339001	0.6850010000000001	1.0	0.8641205175054706	0.4257823017429194	growth_cell	False	False	False
655	4	0.1526344510736282	0.584613427085762	0.035001	0.117001	1.0	0.610112793721973	0.2554186898734177	growth_cell	False	False	False
718	2	0.0733992887564921	0.2672669802020961	0.136001	0.281001	1.0	0.6806599852941176	0.3401500065075922	growth_cell	False	False	False
730	2	0.0430698802437879	0.2351719639605605	0.379001	0.715001	1.0	0.8817071155080214	0.4495762890946502	growth_cell	False	False	False
735	30	0.1361422832640692	0.4694899171651567	0.2890009999999999	0.137001	1.0	0.6256061608832807	0.4043909623786407	growth_cell	False	False	False
752	3	0.123860502579038	0.399306146199144	0.058001	0.236001	1.0	0.6463400308788598	0.2906771134453781	growth_cell	False	False	False
783	2	0.0	0.0	1.0	1.0	1.0	1.0	1.0	growth_cell	False	False	False
785	2	0.1272495847304256	1.0916770694252969	0.066001	0.050001	1.0	0.5113404608695652	0.3071743359073359	growth_cell	False	False	False
787	2	0.0585722560456119	0.2990621866300544	0.2860009999999999	0.5440010000000001	1.0	0.793416859848485	0.4026363284493284	growth_cell	False	False	False
821	7	0.1884559888736953	0.8276646527841857	0.0150009999999999	0.048001	0.998001	0.5113404608695652	0.23061153	growth_cell	False	False	False
866	2	0.2045166347468431	1.3214439401453977	1e-06	0.014001	0.963001	0.4674480135135135	0.0001647142857142	growth_cell	False	True	False
874	24	0.1765241929892917	0.5698539965569839	0.067001	0.117001	1.0	0.610112793721973	0.3071743359073359	growth_cell	False	False	False
878	5	0.091785914433655	0.255064013417747	0.271001	0.7890010000000001	1.0	0.9156869006024096	0.3995705281329923	growth_cell	False	False	False
879	5	0.1411162882741488	0.5480743701404747	0.072001	0.140001	1.0	0.6256061608832807	0.3099503691756272	growth_cell	False	False	False
882	2	0.1063088054003488	0.5899932326601418	0.114001	0.268001	1.0	0.6752953427331887	0.3261616699751861	growth_cell	False	False	False
887	46	0.1627013046597905	0.4483376516686395	0.180001	0.179001	1.0	0.6311564311926605	0.3647471933216168	growth_cell	False	False	False
890	2	0.2214683688979318	1.9313012308378636	1e-06	0.002001	0.7930010000000001	0.288394125	0.0001647142857142	growth_cell	False	True	False
891	3	0.1525201388595412	0.7228319044415521	0.029001	0.037001	1.0	0.4941555274725274	0.2554186898734177	growth_cell	False	False	False
899	18	0.1969071257593553	0.5422705161549192	0.028001	0.118001	0.989001	0.610112793721973	0.2554186898734177	growth_cell	False	False	False
900	2	0.0644799517797229	0.2347717135840316	0.267001	0.6650010000000001	1.0	0.8522743096559379	0.3995705281329923	growth_cell	False	False	False
913	44	0.2481941377041696	0.6028002232845033	0.004001	0.046001	0.326001	0.5113404608695652	0.115328825	growth_cell	False	False	False
914	9	0.1624047196129576	0.4303498150779531	0.073001	0.448001	1.0	0.7565023784172662	0.3099503691756272	growth_cell	False	False	False
915	3	0.1149360598659444	0.5800814675227829	0.123001	0.238001	1.0	0.6487355862884161	0.3354208022727273	growth_cell	False	False	False
916	26	0.1422171089188336	0.5030366686108745	0.206001	0.141001	1.0	0.6256061608832807	0.3707980903522205	growth_cell	False	False	False
918	47	0.2280115003227132	0.5641028760467507	0.0150009999999999	0.061001	0.6740010000000001	0.5494855703125	0.23061153	growth_cell	False	False	False
919	9	0.1563604123554	0.8592355038138604	0.093001	0.027001	1.0	0.4674480135135135	0.3191373601190476	growth_cell	False	False	False
920	2	0.0642120484179855	0.3281705299720645	0.3090009999999999	0.5580010000000001	1.0	0.7982321997518612	0.4095151183908045	growth_cell	False	False	False
924	5	0.1354035889765198	0.6382768486017845	0.101001	0.151001	1.0	0.6256061608832807	0.3244812923497268	growth_cell	False	False	False
940	4	0.1318696108469635	0.6554720723204672	0.096001	0.142001	1.0	0.6256061608832807	0.3208381246376812	growth_cell	False	False	False
963	6	0.1736118561205972	0.7446210003033725	0.019001	0.028001	1.0	0.4674480135135135	0.23061153	growth_cell	False	False	False
972	2	0.1050545280852623	0.557018248444254	0.128001	0.272001	1.0	0.6773588617710583	0.3354208022727273	growth_cell	False	False	False
985	39	0.1289149058565693	0.356768878867032	0.3710009999999999	0.4300009999999999	1.0	0.7529456863636363	0.44512398855359	growth_cell	False	False	False
986	5	0.11140593893407	0.3935345736103806	0.204001	0.576001	1.0	0.8109025067155068	0.3692514175824175	growth_cell	False	False	False
987	3	0.0363150182731352	0.1129494741158886	0.4360009999999999	0.8100010000000001	1.0	0.9274390794438928	0.4738069302544769	growth_cell	False	False	False
988	17	0.1222632997832989	0.3228164177712815	0.2910009999999999	0.622001	1.0	0.8300545752314815	0.4046600396634615	growth_cell	False	False	False
1025	2	0.0748719629859665	0.2805958304568237	0.216001	0.613001	1.0	0.8258711081395348	0.3728795126676602	growth_cell	False	False	False
1034	24	0.1607637710627691	0.4587022760964194	0.168001	0.2830009999999999	1.0	0.6826363033472802	0.3581951341911765	growth_cell	False	False	False
1035	13	0.1554187320828528	0.4862940788562703	0.108001	0.174001	1.0	0.6263245462962963	0.3261616699751861	growth_cell	False	False	False
1036	6	0.0862324174681154	0.3135283495140513	0.334001	0.528001	1.0	0.7864751003861005	0.423190278021978	growth_cell	False	False	False
1062	2	0.1370648345036709	0.7102940331909571	0.045001	0.155001	1.0	0.6256061608832807	0.2656478088235294	growth_cell	False	False	False
1068	28	0.2013891591825745	0.4557318430485715	0.043001	0.275001	0.980001	0.6775131474358974	0.2628660777202072	growth_cell	False	False	False
1069	3	0.1517651808887986	0.9808577238160257	0.041001	0.044001	1.0	0.5023084455445544	0.2628660777202072	growth_cell	False	False	False
1075	8	0.0635009961731092	0.1658874170730057	0.4800009999999999	0.982001	1.0	1.0	0.4947316262265833	growth_cell	False	False	False
1096	7	0.1105479023128235	0.3732869353561734	0.235001	0.569001	1.0	0.8039928345588235	0.3854283826458036	growth_cell	False	False	False
1109	30	0.2602644001944939	0.4578247923063642	1e-06	0.269001	0.189001	0.6752953427331887	0.0001647142857142	growth_cell	False	True	False
1110	27	0.1334066620645388	0.3490404036085477	0.324001	0.648001	1.0	0.8404332429696288	0.4192740213243546	growth_cell	False	False	False
1112	2	0.0830292794721128	0.5310529166764199	0.132001	0.268001	1.0	0.6752953427331887	0.3370333032967033	growth_cell	False	False	False
1120	8	0.1105479023128235	0.5163838730093074	0.264001	0.073001	1.0	0.5804838137931034	0.3995705281329923	growth_cell	False	False	False
1125	2	0.0283604566142845	0.0823848444405915	0.3710009999999999	0.780001	1.0	0.91118657852077	0.44512398855359	growth_cell	False	False	False
1147	28	0.2546701848951783	0.4493551094434189	0.001001	0.256001	0.254001	0.6708852942477875	0.0824395	growth_cell	False	False	False
1149	2	0.0331457792412736	0.109052981501912	0.445001	0.940001	1.0	0.9817220588768116	0.4786251427238805	growth_cell	False	False	False
