ASMID,SPECIES_IN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,TRANSL_TABLE,LOCUSTAG
LOCAL_Cystobasidium_sp._DBVPG_10075.proteins,Cystobasidium sp.,DBVPG 10075,,1925428,dikarya,Basidiomycota,,Exobasidiomycetes,,,,Cystobasidium,Cystobasidium sp.,1,DBVPG10075
LOCAL_Pseudomicrostroma_phylloplanum_DBVPG_6740.proteins,Pseudomicrostroma phylloplanum,DBVPG 6740,,105771,dikarya,Basidiomycota,,Exobasidiomycetes,,Microstromatales,,Pseudomicrostroma,Pseudomicrostroma phylloplanum,1,DBVPG6740
LOCAL_Rhodotorula_araucariae_NRRL_Y-17376.proteins,Rhodotorula araucariae,NRRL Y-17376,,86829,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula araucariae,1,OM449
LOCAL_Rhodotorula_dairenensis_DBVPG_3768.proteins,Rhodotorula dairenensis,DBVPG 3768,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3768
LOCAL_Rhodotorula_dairenensis_DBVPG_3769.proteins,Rhodotorula dairenensis,DBVPG 3769,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3769
LOCAL_Rhodotorula_dairenensis_DBVPG_3770.proteins,Rhodotorula dairenensis,DBVPG 3770,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3770
LOCAL_Rhodotorula_dairenensis_DBVPG_3771.proteins,Rhodotorula dairenensis,DBVPG 3771,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3771
LOCAL_Rhodotorula_dairenensis_DBVPG_3772.proteins,Rhodotorula dairenensis,DBVPG 3772,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3772
LOCAL_Rhodotorula_dairenensis_DBVPG_3773.proteins,Rhodotorula dairenensis,DBVPG 3773,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3773
LOCAL_Rhodotorula_dairenensis_DBVPG_3853.proteins,Rhodotorula dairenensis,DBVPG 3853,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,DBVPG3853
LOCAL_Rhodotorula_dairenensis_NRRL_Y-2504.proteins,Rhodotorula dairenensis,NRRL Y-2504,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,OM447
LOCAL_Rhodotorula_dairenensis_TFCN_7W-292-3.proteins,Rhodotorula dairenensis,TFCN 7W-292-3,,86832,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,1,TFCN7W2923
LOCAL_Rhodotorula_diobovata_DBVPG_6195.proteins,Rhodotorula diobovata,DBVPG 6195,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,DBVPG6195
LOCAL_Rhodotorula_diobovata_DBVPG_6202.proteins,Rhodotorula diobovata,DBVPG 6202,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,DBVPG6202
LOCAL_Rhodotorula_diobovata_NRRL_Y-7196.proteins,Rhodotorula diobovata,NRRL Y-7196,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,OM446
LOCAL_Rhodotorula_diobovata_TFCN_17-334Y-6.proteins,Rhodotorula diobovata,TFCN 17-334Y-6,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,TFCN17334Y6
LOCAL_Rhodotorula_diobovata_TFCN_25-335C-1.proteins,Rhodotorula diobovata,TFCN 25-335C-1,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,TFCN25335C1
LOCAL_Rhodotorula_diobovata_TFCN_25-335P-1.proteins,Rhodotorula diobovata,TFCN 25-335P-1,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,TFCN25335P1
LOCAL_Rhodotorula_diobovata_TFCN_7-9-2.proteins,Rhodotorula diobovata,TFCN 7-9-2,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,TFCN792
LOCAL_Rhodotorula_diobovata_TFCN_7-9-3.proteins,Rhodotorula diobovata,TFCN 7-9-3,,5288,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula diobovata,1,TFCN793
LOCAL_Rhodotorula_evergladensis_DBVPG_7922.proteins,Rhodotorula evergladensis,DBVPG 7922,,592011,dikarya,Basidiomycota,,Microbotryomycetes,,,,Rhodotorula,Rhodotorula evergladensis,1,DBVPG7922
LOCAL_Rhodotorula_glutinis_DBVPG_6081.proteins,Rhodotorula glutinis,DBVPG 6081,,5535,dikarya,Basidiomycota,,Microbotryomycetes,,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis,1,DBVPG6081
