tree_tip,species,complete_pct
Cystobasidium_sp._DBVPG_10075.proteins,Cystobasidium sp.,93.0
Pseudomicrostroma_phylloplanum_DBVPG_6740.proteins,Pseudomicrostroma phylloplanum,95.3
Rhodotorula_araucariae_NRRL_Y-17376.proteins,Rhodotorula araucariae,95.7
Rhodotorula_dairenensis_DBVPG_3768.proteins,Rhodotorula dairenensis,93.2
Rhodotorula_dairenensis_DBVPG_3769.proteins,Rhodotorula dairenensis,90.4
Rhodotorula_dairenensis_DBVPG_3770.proteins,Rhodotorula dairenensis,93.0
Rhodotorula_dairenensis_DBVPG_3771.proteins,Rhodotorula dairenensis,94.9
Rhodotorula_dairenensis_DBVPG_3772.proteins,Rhodotorula dairenensis,89.4
Rhodotorula_dairenensis_DBVPG_3773.proteins,Rhodotorula dairenensis,95.2
Rhodotorula_dairenensis_DBVPG_3853.proteins,Rhodotorula dairenensis,89.8
Rhodotorula_dairenensis_NRRL_Y-2504.proteins,Rhodotorula dairenensis,94.1
Rhodotorula_dairenensis_TFCN_7W-292-3.proteins,Rhodotorula dairenensis,94.7
Rhodotorula_diobovata_DBVPG_6195.proteins,Rhodotorula diobovata,95.5
Rhodotorula_diobovata_DBVPG_6202.proteins,Rhodotorula diobovata,94.7
Rhodotorula_diobovata_NRRL_Y-7196.proteins,Rhodotorula diobovata,96.2
Rhodotorula_diobovata_TFCN_17-334Y-6.proteins,Rhodotorula diobovata,94.9
Rhodotorula_diobovata_TFCN_25-335C-1.proteins,Rhodotorula diobovata,95.1
Rhodotorula_diobovata_TFCN_25-335P-1.proteins,Rhodotorula diobovata,91.4
Rhodotorula_diobovata_TFCN_7-9-2.proteins,Rhodotorula diobovata,79.8
Rhodotorula_diobovata_TFCN_7-9-3.proteins,Rhodotorula diobovata,74.2
Rhodotorula_glutinis_DBVPG_6081.proteins,Rhodotorula glutinis,95.5
Rhodotorula_graminis_DBVPG_6083.proteins,Rhodotorula graminis,95.8
Rhodotorula_graminis_DBVPG_7021.proteins,Rhodotorula graminis,96.1
Rhodotorula_graminis_NRRL_Y-2474.proteins,Rhodotorula graminis,96.5
Rhodotorula_kratochvilovae_DBVPG_10383.proteins,Rhodotorula kratochvilovae,96.5
Rhodotorula_kratochvilovae_DBVPG_10753.proteins,Rhodotorula kratochvilovae,96.4
Rhodotorula_kratochvilovae_DBVPG_7539.proteins,Rhodotorula kratochvilovae,95.7
Rhodotorula_mucilaginosa_DBVPG_10619.proteins,Rhodotorula mucilaginosa,93.9
Rhodotorula_mucilaginosa_DBVPG_10780.proteins,Rhodotorula mucilaginosa,95.7
