sseqid,species_prefix,GENUS,SPECIES,STRAIN,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog
DBVPG10753_008756-T1,DBVPG10753,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,99.8,100.0,100.0,0.0,2917.0,True
DBVPG7539_006110-T1,DBVPG7539,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 7539,96.4,100.0,100.0,0.0,2815.0,True
OM449_007036-T1,OM449,Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,80.2,100.0,100.0,0.0,2297.0,True
DBVPG10383_008199-T1,DBVPG10383,Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,99.7,73.5,99.2,0.0,2134.0,True
DBVPG7947_005393-T1,DBVPG7947,Rhodotorula,Rhodotorula sp. clade XIII,DBVPG 7947,74.4,99.8,99.9,0.0,2129.0,True
OM446_007038-T1,OM446,Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,74.2,99.8,99.8,0.0,2121.0,True
TFCN793_001450-T1,TFCN793,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3,74.2,99.8,99.8,0.0,2121.0,True
DBVPG6195_002935-T1,DBVPG6195,Rhodotorula,Rhodotorula diobovata,DBVPG 6195,74.3,99.7,70.7,0.0,2118.0,True
TFCN25335C1_005408-T1,TFCN25335C1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1,74.3,99.7,70.7,0.0,2118.0,True
TFCN25335P1_003658-T1,TFCN25335P1,Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1,74.3,99.7,70.7,0.0,2118.0,True
DBVPG6202_000876-T1,DBVPG6202,Rhodotorula,Rhodotorula diobovata,DBVPG 6202,74.3,99.5,70.4,0.0,2117.0,True
TFCN17334Y6_002753-T1,TFCN17334Y6,Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6,74.3,99.5,67.5,0.0,2117.0,True
TFCN792_001707-T1,TFCN792,Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2,74.3,99.7,67.8,0.0,2116.0,True
DBVPG7021_006843-T1,DBVPG7021,Rhodotorula,Rhodotorula graminis,DBVPG 7021,72.9,99.9,99.9,0.0,2066.0,True
OM441_006799-T1,OM441,Rhodotorula,Rhodotorula graminis,NRRL Y-2474,72.9,99.9,99.9,0.0,2066.0,True
DBVPG6083_006048-T1,DBVPG6083,Rhodotorula,Rhodotorula graminis,DBVPG 6083,72.9,99.9,99.9,0.0,2066.0,True
