LOCUSTAG,GENUS,SPECIES,STRAIN,species_prefix,sseqid,pident,qcovhsp,scovhsp,evalue,bitscore,is_ortholog,has_hit,has_ortholog
DBVPG10075,Cystobasidium,Cystobasidium sp.,DBVPG 10075,DBVPG10075,DBVPG10075_004503-T1,23.9,32.6,32.6,4.12e-12,77.8,False,True,False
DBVPG6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,DBVPG6740,DBVPG6740_002504-T1,47.9,99.5,99.2,0.0,1113.0,True,True,True
OM449,Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,OM449,OM449_007036-T1,80.2,100.0,100.0,0.0,2297.0,True,True,True
DBVPG3768,Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,DBVPG3768,DBVPG3768_001497-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3769,Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,DBVPG3769,DBVPG3769_001453-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3770,Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,DBVPG3770,DBVPG3770_002093-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3771,Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,DBVPG3771,DBVPG3771_002784-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3772,Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,DBVPG3772,DBVPG3772_001484-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3773,Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,DBVPG3773,DBVPG3773_001476-T1,62.0,99.8,99.6,0.0,1750.0,True,True,True
DBVPG3853,Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,DBVPG3853,DBVPG3853_000391-T1,61.5,99.8,99.6,0.0,1726.0,True,True,True
OM447,Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504,OM447,OM447_000299-T1,61.6,99.8,99.6,0.0,1734.0,True,True,True
TFCN7W2923,Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,TFCN7W2923,TFCN7W2923_002001-T1,62.0,99.8,99.6,0.0,1749.0,True,True,True
