compound,category,formula,neutral_mass,adduct,target_mz
beta-cyclocitral,apocarotenoid,C10H16O1,152.1201151325,[M+H-H2O]+,135.1168268985
beta-cyclocitral,apocarotenoid,C10H16O1,152.1201151325,[M+H]+,153.1273915844
dihydroactinidiolide,apocarotenoid,C11H16O2,180.1150297546,[M+H-H2O]+,163.1117415206
beta-cyclocitral,apocarotenoid,C10H16O1,152.1201151325,[M+NH4]+,170.1539406853
beta-cyclocitral,apocarotenoid,C10H16O1,152.1201151325,[M+Na]+,175.1093358325
beta-ionone,apocarotenoid,C13H20O1,192.1514152601,[M+H-H2O]+,175.1481270261
dihydroactinidiolide,apocarotenoid,C11H16O2,180.1150297546,[M+H]+,181.12230620649999
beta-ionone,apocarotenoid,C13H20O1,192.1514152601,[M+H]+,193.158691712
dihydroactinidiolide,apocarotenoid,C11H16O2,180.1150297546,[M+NH4]+,198.1488553074
dihydroactinidiolide,apocarotenoid,C11H16O2,180.1150297546,[M+Na]+,203.1042504546
beta-ionone,apocarotenoid,C13H20O1,192.1514152601,[M+NH4]+,210.18524081290002
beta-ionone,apocarotenoid,C13H20O1,192.1514152601,[M+Na]+,215.1406359601
ergosterol,sterol_pathway,C28H44O1,396.3392160257,[M+H-H2O]+,379.3359277917
squalene,sterol_pathway,C30H50,410.39125159499997,[M+H-H2O]+,393.38796336099995
ergosterol,sterol_pathway,C28H44O1,396.3392160257,[M+H]+,397.3464924776
lanosterol,sterol_pathway,C30H50O1,426.38616621709997,[M+H-H2O]+,409.38287798309995
squalene,sterol_pathway,C30H50,410.39125159499997,[M+H]+,411.39852804689997
ergosterol,sterol_pathway,C28H44O1,396.3392160257,[M+NH4]+,414.3730415785
ergosterol,sterol_pathway,C28H44O1,396.3392160257,[M+Na]+,419.3284367257
lanosterol,sterol_pathway,C30H50O1,426.38616621709997,[M+H]+,427.39344266899997
squalene,sterol_pathway,C30H50,410.39125159499997,[M+NH4]+,428.4250771478
squalene,sterol_pathway,C30H50,410.39125159499997,[M+Na]+,433.38047229499995
lanosterol,sterol_pathway,C30H50O1,426.38616621709997,[M+NH4]+,444.4199917699
lanosterol,sterol_pathway,C30H50O1,426.38616621709997,[M+Na]+,449.37538691709995
torulene,carotenoid_pathway,C40H54,534.4225517226,[M+H-H2O]+,517.4192634886
beta-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+H-H2O]+,519.4349135524
lycopene,carotenoid_pathway,C40H56,536.4382017864,[M+H-H2O]+,519.4349135524
gamma-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+H-H2O]+,519.4349135524
neurosporene,carotenoid_pathway,C40H58,538.4538518502,[M+H-H2O]+,521.4505636161999
zeta-carotene,carotenoid_pathway,C40H60,540.469501914,[M+H-H2O]+,523.46621368
phytofluene,carotenoid_pathway,C40H62,542.4851519778,[M+H-H2O]+,525.4818637438
phytoene,carotenoid_pathway,C40H64,544.5008020416,[M+H-H2O]+,527.4975138076
echinenone,additional_carotenoid,C40H54O1,550.4174663447001,[M+H-H2O]+,533.4141781107
torulene,carotenoid_pathway,C40H54,534.4225517226,[M+H]+,535.4298281745
lycopene,carotenoid_pathway,C40H56,536.4382017864,[M+H]+,537.4454782383
gamma-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+H]+,537.4454782383
beta-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+H]+,537.4454782383
neurosporene,carotenoid_pathway,C40H58,538.4538518502,[M+H]+,539.4611283021
zeta-carotene,carotenoid_pathway,C40H60,540.469501914,[M+H]+,541.4767783659
phytofluene,carotenoid_pathway,C40H62,542.4851519778,[M+H]+,543.4924284297
phytoene,carotenoid_pathway,C40H64,544.5008020416,[M+H]+,545.5080784935
canthaxanthin,additional_carotenoid,C40H52O2,564.396730903,[M+H-H2O]+,547.393442669
torularhodin,carotenoid_pathway,C40H52O2,564.396730903,[M+H-H2O]+,547.393442669
zeaxanthin,additional_carotenoid,C40H56O2,568.4280310306,[M+H-H2O]+,551.4247427966
echinenone,additional_carotenoid,C40H54O1,550.4174663447001,[M+H]+,551.4247427966001
torulene,carotenoid_pathway,C40H54,534.4225517226,[M+NH4]+,552.4563772754
beta-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+NH4]+,554.4720273391999
gamma-carotene,carotenoid_pathway,C40H56,536.4382017864,[M+NH4]+,554.4720273391999
lycopene,carotenoid_pathway,C40H56,536.4382017864,[M+NH4]+,554.4720273391999
