sample_id,type,mode_prop_all,mode_val,prop_zero,mode_prop_nonzero,n_unique_all,n_unique_nonzero
SUP_1,SUP,0.4490570658829292,0.0,0.4490570658829292,0.00011113580795732385,8975,8974
SUP_100,SUP,0.4357702669605682,0.0,0.4357702669605682,0.00010851871947911015,9188,9187
SUP_104,SUP,0.44244428116580947,0.0,0.44244428116580947,0.00010981770261366133,9085,9084
SUP_106,SUP,0.4399338721528288,0.0,0.4399338721528288,0.00010932546190007652,9116,9115
SUP_107,SUP,0.44305657604702425,0.0,0.44305657604702425,0.00010993843447669306,9066,9065
SUP_108,SUP,0.44979181974038696,0.0,0.44979181974038696,0.00011128421989761852,8964,8963
SUP_109,SUP,0.4434851824638746,0.0,0.4434851824638746,0.00011002310485201893,9069,9068
SUP_11,SUP,0.44893460690668624,0.0,0.44893460690668624,0.00011111111111111112,8989,8988
SUP_113,SUP,0.4360764144011756,0.0,0.4360764144011756,0.00010857763300760044,9192,9191
SUP_115,SUP,0.44066862601028656,0.0,0.44066862601028656,0.00010946907498631637,9110,9109
SUP_116,SUP,0.44832231202547146,0.0,0.44832231202547146,0.00011098779134295228,8984,8983
SUP_117,SUP,0.442260592701445,0.0,0.442260592701445,0.00010978153474585575,9088,9087
SUP_12,SUP,0.4477100171442567,0.0,0.4477100171442567,0.00011086474501108647,9003,9002
SUP_124,SUP,0.44397501836884645,0.0,0.44397501836884645,0.00011012003083360864,9056,9055
SUP_125,SUP,0.445199608131276,0.0,0.445199608131276,0.00011036309458117205,9041,9040
SUP_126,SUP,0.4391378888072496,0.0,0.4391378888072496,0.0001091703056768559,9146,9145
SUP_127,SUP,0.4347293656625031,0.0,0.4347293656625031,0.00010831889081455805,9212,9211
SUP_129,SUP,0.42927994121969143,0.0,0.42927994121969143,0.000107284626113078,9301,9300
SUP_13,SUP,0.4529757531227039,0.0,0.4529757531227039,0.00011193194537721066,8912,8911
SUP_130,SUP,0.4458731325006123,0.0,0.4458731325006123,0.00011049723756906077,9034,9033
SUP_131,SUP,0.4442811658094538,0.0,0.4442811658094538,0.00011018069634200089,9061,9060
SUP_133,SUP,0.43779084006857705,0.0,0.43779084006857705,0.00010890873448050534,9163,9162
SUP_134,SUP,0.44985304922850844,0.0,0.44985304922850844,0.00011129660545353366,8966,8965
SUP_135,SUP,0.4480161645848641,0.0,0.4480161645848641,0.00011092623405435385,8988,8987
SUP_14,SUP,0.45107763899093806,0.0,0.45107763899093806,0.00011154489682097045,8950,8949
SUP_142,SUP,0.4387705118785207,0.0,0.4387705118785207,0.00010909884355225835,9145,9144
SUP_143,SUP,0.44024001959343617,0.0,0.44024001959343617,0.00010938525486764385,9117,9116
SUP_144,SUP,0.44036247856967914,0.0,0.44036247856967914,0.00010940919037199125,9123,9122
SUP_148,SUP,0.44501591966691156,0.0,0.44501591966691156,0.00011032656663724625,9041,9040
SUP_15,SUP,0.4508939505265736,0.0,0.4508939505265736,0.00011150758251561107,8955,8954
SUP_150,SUP,0.43926034778349254,0.0,0.43926034778349254,0.00010919414719371041,9134,9133
SUP_151,SUP,0.44158706833210876,0.0,0.44158706833210876,0.00010964912280701755,9100,9099
SUP_152,SUP,0.43448444771001715,0.0,0.43448444771001715,0.00010827197921177999,9211,9210
SUP_153,SUP,0.45358804800391866,0.0,0.45358804800391866,0.00011205737337516809,8897,8896
SUP_157,SUP,0.43503551310311045,0.0,0.43503551310311045,0.00010837758751490192,9204,9203
SUP_158,SUP,0.44403624785696794,0.0,0.44403624785696794,0.00011013215859030837,9057,9056
SUP_159,SUP,0.45156747489590987,0.0,0.45156747489590987,0.00011164452383610584,8936,8935
SUP_161,SUP,0.45022042615723734,0.0,0.45022042615723734,0.00011137097672346586,8956,8955
SUP_162,SUP,0.4440974773450894,0.0,0.4440974773450894,0.00011014428901861439,9060,9059
