row ID,dedup_group_id,group_size,is_group_representative,is_isf_member,isf_root_row_id
1,asid_6547,5,True,True,6547
2,asid_8477,2,False,True,8477
3,asid_7520,6,True,True,587
4,asid_10685,3,False,True,10685
5,asid_1109,4,True,True,1109
6,asid_15256,4,False,True,15256
7,asid_17367,3,False,True,17367
8,asid_11223,5,False,True,11223
9,asid_2,12,False,False,9
10,asid_1408,7,True,True,1408
11,asid_3,13,False,False,11
12,asid_1087,3,False,True,1087
13,asid_5,12,False,False,13
14,asid_22945,4,False,True,22945
15,asid_11187,5,False,True,11187
16,asid_2,12,False,False,16
17,asid_1,1,True,False,17
18,asid_2809,5,False,False,18
19,asid_19,8,False,False,19
20,asid_2,12,True,False,20
21,asid_3,13,False,False,21
22,asid_3,13,True,False,22
23,asid_658,9,False,False,23
24,asid_2299,4,True,True,11449
25,asid_3434,13,False,True,3434
26,asid_6120,9,True,False,26
27,asid_15212,9,False,True,15212
28,asid_6687,4,False,True,6687
29,asid_3296,2,False,True,3296
30,asid_5,12,False,False,30
31,asid_31,10,False,False,31
32,asid_28817,2,False,True,28817
33,asid_2378,8,False,True,2378
34,asid_348,10,False,True,348
35,asid_35,8,False,False,35
36,asid_402,8,False,True,402
37,asid_37,1,True,False,37
38,asid_5,12,False,False,38
39,asid_5360,5,False,True,5360
40,asid_8023,4,True,False,40
41,asid_11943,3,False,True,11943
42,asid_42,4,True,False,42
43,asid_5543,3,False,True,5543
44,asid_74,32,False,False,44
45,asid_62,13,False,False,45
46,asid_46,3,False,False,46
47,asid_3559,12,False,False,47
48,asid_48,3,True,False,48
49,asid_5445,3,False,True,5445
50,asid_74,32,False,False,50
51,asid_51,3,True,False,51
52,asid_29,8,False,True,529
53,asid_28,11,False,False,53
54,asid_168,4,False,False,54
55,asid_55,3,True,False,55
56,asid_86,7,False,False,56
57,asid_841,6,True,False,57
58,asid_10,14,False,False,58
59,asid_553,19,False,False,59
60,asid_11312,3,True,True,11312
61,asid_10,14,False,False,61
62,asid_62,13,False,False,62
63,asid_1347,10,False,True,1347
64,asid_64,14,False,False,64
66,asid_6120,9,False,False,66
67,asid_3559,12,False,False,67
68,asid_4429,2,False,True,4429
69,asid_3055,5,False,True,3055
70,asid_28,11,False,False,70
71,asid_13848,19,True,True,13848
72,asid_72,9,True,False,72
73,asid_13848,19,False,True,13848
74,asid_17473,4,False,True,17473
75,asid_235,20,False,True,235
76,asid_2088,4,False,True,2088
77,asid_658,9,False,False,77
78,asid_35,8,False,True,35
79,asid_223,9,True,False,79
80,asid_15167,3,False,True,15167
81,asid_35860,3,False,True,35860
82,asid_20581,2,False,True,20581
83,asid_341,3,False,True,341
84,asid_787,7,False,True,787
85,asid_62,13,False,True,45
86,asid_86,7,True,False,86
87,asid_87,2,True,False,87
88,asid_43,7,False,True,540
89,asid_21573,3,False,True,21573
90,asid_4825,4,False,True,4825
91,asid_31,10,False,False,91
92,asid_733,3,True,False,92
93,asid_6097,7,False,True,6097
94,asid_3643,6,False,True,3643
95,asid_5902,9,False,False,95
96,asid_170,10,False,False,96
97,asid_43,7,False,False,97
