GENUS,SPECIES,STRAIN,crtO,crtP,crtQ,crtR,crt_fungal_lcy,crt_fungal_pds,crt_fungal_psy,hgd,laccase,mysA,mysC,mysD,mysE,pks_melanin,scyA,t3hnr,t4hnr,tyrosinase
Cystobasidium,Cystobasidium sp.,DBVPG 10075,1,14,3,0,2,3,2,0,1,2,1,1,17,26,1,44,64,3
Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,1,6,0,0,3,2,3,3,2,1,0,0,12,18,1,25,47,0
Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,1,11,0,0,2,2,2,1,2,1,0,0,14,24,1,25,38,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,1,7,0,1,2,2,2,0,4,1,0,0,14,22,2,17,34,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,1,7,0,1,2,1,2,0,4,1,0,0,14,22,1,20,35,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,1,8,0,1,2,1,2,0,4,1,0,0,13,19,2,20,36,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,1,8,0,1,2,1,2,0,4,1,0,0,14,19,2,21,37,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,1,8,0,1,2,1,2,0,4,1,0,0,13,21,1,17,33,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,1,9,0,1,2,2,2,0,4,1,0,0,14,20,2,22,37,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,1,7,0,1,2,1,2,0,4,1,0,0,14,21,1,19,35,0
Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504,1,9,0,1,2,2,2,0,4,1,0,0,14,22,2,21,37,0
Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,1,7,0,1,2,1,2,0,4,1,0,0,14,21,2,21,37,0
Rhodotorula,Rhodotorula diobovata,DBVPG 6195,1,8,0,0,2,2,2,0,2,1,0,0,17,24,1,29,43,0
Rhodotorula,Rhodotorula diobovata,DBVPG 6202,1,9,0,0,2,2,2,0,2,1,0,0,17,24,1,29,45,0
Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,1,10,0,0,2,2,2,0,2,1,0,0,16,19,1,27,41,0
Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6,1,8,0,0,2,1,2,0,2,1,0,0,16,24,1,30,44,0
Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1,1,9,0,0,2,2,2,0,2,1,0,0,16,25,1,29,43,0
Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1,1,9,0,0,2,2,2,0,2,1,0,0,16,23,1,30,43,0
