accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
A0A1L9WLL5,AACUK_ASPA1,Scytalone dehydratase-like protein AacuK,AacuK,,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
E9RBR0,ABR2_ASPFU,Laccase abr2,abr2,,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),GO:0009986 (C:cell surface); GO:0005507 (F:copper ion binding); GO:0052716 (F:hydroquinone:oxygen oxidoreductase activity); GO:0016491 (F:oxidoreductase activity); GO:0042438 (P:melanin biosynthetic process); GO:0046148 (P:pigment biosynthetic process),1.10.3,IPR011707 (Cu-oxidase-like_N); IPR001117 (Cu-oxidase_2nd); IPR011706 (Cu-oxidase_C); IPR045087 (Cu-oxidase_fam); IPR033138 (Cu_oxidase_CS); IPR002355 (Cu_oxidase_Cu_BS); IPR008972 (Cupredoxin),PF00394 (Cu-oxidase); PF07731 (Cu-oxidase_2); PF07732 (Cu-oxidase_3)
G4MVZ2,ACE1_PYRO7,Polyketide synthase-nonribosomal peptide synthetase ACE1,ACE1,Pi33,Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae),GO:0005737 (C:cytoplasm); GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016853 (F:isomerase activity); GO:0016874 (F:ligase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0009403 (P:toxin biosynthetic process),2.3.1; 6.3.2,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR045851 (AMP-bd_C_sf); IPR020845 (AMP-binding_CS); IPR000873 (AMP-dep_synth/lig_dom); IPR042099 (ANL_N_sf); IPR023213 (CAT-like_dom_sf); IPR001242 (Condensation_dom); IPR013120 (FAR_NAD-bd); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF00501 (AMP-binding); PF00668 (Condensation); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
P74334,ACOX_SYNY3,"Apocarotenoid-15,15'-oxygenase",,,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),"GO:0102162 (F:all-trans-8'-apo-beta-carotenal 15,15'-oxygenase activity); GO:0010436 (F:carotenoid dioxygenase activity); GO:0046872 (F:metal ion binding); GO:0016121 (P:carotene catabolic process)",1.13.11.75,IPR004294 (Carotenoid_Oase),PF03055 (RPE65)
Q02570,ACPX_STRCN,Curamycin polyketide synthase acyl carrier protein,curE,,Streptomyces cyaneus (Streptomyces curacoi),GO:0017000 (P:antibiotic biosynthetic process),,IPR036736 (ACP-like_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site),PF00550 (PP-binding)
Q02054,ACPX_STRCO,Actinorhodin polyketide synthase acyl carrier protein,,,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),GO:0005829 (C:cytosol); GO:0016020 (C:membrane); GO:0000035 (F:acyl binding); GO:0000036 (F:acyl carrier activity); GO:0017000 (P:antibiotic biosynthetic process); GO:0009245 (P:lipid A biosynthetic process),,IPR036736 (ACP-like_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site),PF00550 (PP-binding)
P43677,ACPX_STRRM,Oxytetracycline polyketide synthase acyl carrier protein,,,Streptomyces rimosus,GO:0017000 (P:antibiotic biosynthetic process),,IPR036736 (ACP-like_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site),PF00550 (PP-binding)
P41174,ACPX_STRVG,Monensin polyketide synthase acyl carrier protein,,,Streptomyces virginiae (Streptomyces cinnamonensis),GO:0031177 (F:phosphopantetheine binding); GO:0017000 (P:antibiotic biosynthetic process),,IPR036736 (ACP-like_sf); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site),PF00550 (PP-binding)
P12885,ACPX_STRVN,Granaticin polyketide synthase acyl carrier protein,,,Streptomyces violaceoruber,GO:0017000 (P:antibiotic biosynthetic process),,IPR036736 (ACP-like_sf); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site),PF00550 (PP-binding)
A0A1L9WQM9,ACRA_ASPA1,Highly reducing polyketide synthase acrA,acrA,,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
