GENUS,SPECIES,STRAIN,GGPPS,HMGR,crtI,crtR-CBR-type,crtS/crtR-hydroxylase,crtYB,laccase/multicopper-oxidase,tyrosinase
Cystobasidium,Cystobasidium sp.,DBVPG 10075,3,1,9,8,35,3,3,2
Pseudomicrostroma,Pseudomicrostroma phylloplanum,DBVPG 6740,3,1,7,7,13,2,4,0
Rhodotorula,Rhodotorula araucariae,NRRL Y-17376,3,1,10,8,17,3,7,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3768,2,1,8,8,9,3,10,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3769,3,0,8,7,9,3,10,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3770,2,1,8,8,9,3,10,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3771,3,1,8,8,9,3,10,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3772,2,1,8,8,9,3,11,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3773,3,1,8,8,10,3,10,0
Rhodotorula,Rhodotorula dairenensis,DBVPG 3853,3,0,8,7,9,3,10,0
Rhodotorula,Rhodotorula dairenensis,NRRL Y-2504,3,1,9,8,13,3,9,0
Rhodotorula,Rhodotorula dairenensis,TFCN 7W-292-3,3,1,8,8,10,3,10,0
Rhodotorula,Rhodotorula diobovata,DBVPG 6195,4,1,9,8,12,4,7,0
Rhodotorula,Rhodotorula diobovata,DBVPG 6202,4,1,9,8,12,4,7,0
Rhodotorula,Rhodotorula diobovata,NRRL Y-7196,4,1,9,8,11,3,7,0
Rhodotorula,Rhodotorula diobovata,TFCN 17-334Y-6,4,1,9,7,12,3,7,0
Rhodotorula,Rhodotorula diobovata,TFCN 25-335C-1,4,1,9,8,12,3,6,0
Rhodotorula,Rhodotorula diobovata,TFCN 25-335P-1,4,1,9,8,12,3,6,0
Rhodotorula,Rhodotorula diobovata,TFCN 7-9-2,4,2,11,7,15,3,8,0
Rhodotorula,Rhodotorula diobovata,TFCN 7-9-3,5,1,10,7,13,3,6,0
Rhodotorula,Rhodotorula evergladensis,DBVPG 7922,3,1,11,7,12,3,6,0
Rhodotorula,Rhodotorula glutinis,DBVPG 6081,3,1,11,8,10,3,9,0
Rhodotorula,Rhodotorula graminis,DBVPG 6083,3,1,10,9,12,3,9,0
Rhodotorula,Rhodotorula graminis,DBVPG 7021,3,1,10,9,13,3,9,0
Rhodotorula,Rhodotorula graminis,NRRL Y-2474,3,1,10,9,13,3,9,0
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10383,3,1,9,8,20,3,7,0
Rhodotorula,Rhodotorula kratochvilovae,DBVPG 10753,3,1,10,8,20,3,7,0
