gene,pfam_acc,protein_id,species_prefix,GENUS,SPECIES,STRAIN,full_seq_e_value,full_seq_score
crtYB,PF00494.25,TFCN17332M1_000416-T1,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,4.7e-46,156.2
crtYB,PF00494.25,TFCN17332M1_004100-T1,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,8.4e-46,155.4
crtYB,PF00494.25,TFCN17332M1_004100-T1,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,8.4e-46,155.4
crtYB,PF00494.25,TFCN17332M1_003353-T1,TFCN17332M1,Rhodotorula,Rhodotorula mucilaginosa,TFCN 17-332M-1,8.8e-43,145.5
crtYB,PF00494.25,TFCN137D4_001432-T1,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,8.2e-47,158.8
crtYB,PF00494.25,TFCN137D4_006883-T1,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,1.3e-44,151.6
crtYB,PF00494.25,TFCN137D4_006883-T1,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,1.3e-44,151.6
crtYB,PF00494.25,TFCN137D4_001800-T1,TFCN137D4,Rhodotorula,Rhodotorula mucilaginosa,TFCN 137D-4,5.3e-41,139.8
crtYB,PF00494.25,TFCN25333P2_001912-T1,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,8.1e-47,158.8
crtYB,PF00494.25,TFCN25333P2_004410-T1,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,1.3e-44,151.6
crtYB,PF00494.25,TFCN25333P2_004410-T1,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,1.3e-44,151.6
crtYB,PF00494.25,TFCN25333P2_002978-T1,TFCN25333P2,Rhodotorula,Rhodotorula mucilaginosa,TFCN 25-333P-2,5.2e-41,139.8
