task	fraction	species_a	species_b	n_features_total	mw_sig	plate_sig	clade_sig
1	cell	Rhodotorula dairenensis (n=7)	Rhodotorula diobovata (n=9)	16332	85	0	DEGENERATE
2	cell	Rhodotorula dairenensis (n=7)	Rhodotorula graminis (n=3)	16332	0	0	DEGENERATE
3	cell	Rhodotorula dairenensis (n=7)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
4	cell	Rhodotorula dairenensis (n=7)	Rhodotorula mucilaginosa (n=209)	16332	203	268	DEGENERATE
5	cell	Rhodotorula dairenensis (n=7)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
6	cell	Rhodotorula dairenensis (n=7)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
7	cell	Rhodotorula dairenensis (n=7)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
8	cell	Rhodotorula dairenensis (n=7)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
9	cell	Rhodotorula dairenensis (n=7)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
10	cell	Rhodotorula dairenensis (n=7)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
11	cell	Rhodotorula diobovata (n=9)	Rhodotorula graminis (n=3)	16332	0	0	DEGENERATE
12	cell	Rhodotorula diobovata (n=9)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
13	cell	Rhodotorula diobovata (n=9)	Rhodotorula mucilaginosa (n=209)	16332	3951	2085	DEGENERATE
14	cell	Rhodotorula diobovata (n=9)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
15	cell	Rhodotorula diobovata (n=9)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
16	cell	Rhodotorula diobovata (n=9)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
17	cell	Rhodotorula diobovata (n=9)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
18	cell	Rhodotorula diobovata (n=9)	Rhodotorula taiwanensis (n=6)	16332	1331	0	DEGENERATE
19	cell	Rhodotorula diobovata (n=9)	Rhodotorula toruloides (n=10)	16332	3711	0	DEGENERATE
20	cell	Rhodotorula graminis (n=3)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
21	cell	Rhodotorula graminis (n=3)	Rhodotorula mucilaginosa (n=209)	16332	200	0	DEGENERATE
22	cell	Rhodotorula graminis (n=3)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
23	cell	Rhodotorula graminis (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
24	cell	Rhodotorula graminis (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
25	cell	Rhodotorula graminis (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
26	cell	Rhodotorula graminis (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
27	cell	Rhodotorula graminis (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
28	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula mucilaginosa (n=209)	16332	118	0	DEGENERATE
29	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
30	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
31	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
32	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
33	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
34	cell	Rhodotorula kratochvilovae (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
35	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula pacifica (n=3)	16332	0	0	0
36	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula paludigena (n=10)	16332	1638	1270	DEGENERATE
37	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
38	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula sphaerocarpa (n=6)	16332	964	642	DEGENERATE
39	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula taiwanensis (n=6)	16332	1369	961	DEGENERATE
40	cell	Rhodotorula mucilaginosa (n=209)	Rhodotorula toruloides (n=10)	16332	2255	2600	DEGENERATE
41	cell	Rhodotorula pacifica (n=3)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
42	cell	Rhodotorula pacifica (n=3)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
43	cell	Rhodotorula pacifica (n=3)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
44	cell	Rhodotorula pacifica (n=3)	Rhodotorula taiwanensis (n=6)	16332	0	NA	DEGENERATE
45	cell	Rhodotorula pacifica (n=3)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
46	cell	Rhodotorula paludigena (n=10)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
47	cell	Rhodotorula paludigena (n=10)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
48	cell	Rhodotorula paludigena (n=10)	Rhodotorula taiwanensis (n=6)	16332	114	0	DEGENERATE
49	cell	Rhodotorula paludigena (n=10)	Rhodotorula toruloides (n=10)	16332	500	0	DEGENERATE
50	cell	Rhodotorula sp. clade I (n=5)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
51	cell	Rhodotorula sp. clade I (n=5)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
52	cell	Rhodotorula sp. clade I (n=5)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
53	cell	Rhodotorula sphaerocarpa (n=6)	Rhodotorula taiwanensis (n=6)	16332	0	0	DEGENERATE
54	cell	Rhodotorula sphaerocarpa (n=6)	Rhodotorula toruloides (n=10)	16332	0	0	DEGENERATE
55	cell	Rhodotorula taiwanensis (n=6)	Rhodotorula toruloides (n=10)	16332	1662	0	DEGENERATE
56	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula diobovata (n=9)	16332	0	0	DEGENERATE
57	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula graminis (n=3)	16332	0	0	DEGENERATE
58	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula kratochvilovae (n=3)	16332	0	0	DEGENERATE
59	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula mucilaginosa (n=209)	16332	19	0	DEGENERATE
60	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula pacifica (n=3)	16332	0	0	DEGENERATE
61	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula paludigena (n=10)	16332	0	0	DEGENERATE
62	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula sp. clade I (n=5)	16332	0	0	DEGENERATE
63	supernatant	Rhodotorula dairenensis (n=8)	Rhodotorula sphaerocarpa (n=6)	16332	0	0	DEGENERATE
