ont_level,class_id,fraction,predictor,n_members,spearman_rho,empirical_p,empirical_fdr,n_strains
npc_pathway,Alkaloids,cell,a*,237,-0.1444893792339048,0.08582834331337326,0.14530938123752496,274
npc_pathway,Amino acids and Peptides,cell,a*,1424,-0.1687220808388692,0.04790419161676647,0.14530938123752496,274
npc_pathway,Carbohydrates,cell,a*,97,-0.10702202906582471,0.5668662674650699,0.5668662674650699,274
npc_pathway,Fatty acids,cell,a*,1055,-0.16928385483130012,0.18562874251497005,0.21656686626746505,274
npc_pathway,Polyketides,cell,a*,95,-0.21054420032522228,0.10379241516966067,0.14530938123752496,274
npc_pathway,Shikimates and Phenylpropanoids,cell,a*,29,-0.13943633009326442,0.10379241516966067,0.14530938123752496,274
npc_pathway,Terpenoids,cell,a*,193,-0.22255671335963306,0.015968063872255488,0.1117764471057884,274
npc_class,2-pyrone derivatives,cell,a*,3,-0.11523862998315552,0.043912175648702596,0.22826569084054116,274
npc_class,3-Spirotetramic acids,cell,a*,1,-0.0741002063629801,0.17964071856287425,0.48134286981592367,274
npc_class,Abietane diterpenoids,cell,a*,1,0.07580850171744331,0.5688622754491018,0.7714117220105245,274
npc_class,Acetate-derived alkaloids,cell,a*,1,0.28758648212438753,0.027944111776447105,0.1923844618455397,274
npc_class,Acridone alkaloids,cell,a*,6,-0.07638463726054966,0.1936127744510978,0.48134286981592367,274
npc_class,Acyclic monoterpenoids,cell,a*,1,0.04846130043002061,0.38323353293413176,0.6293468109652256,274
npc_class,Acyl phloroglucinols,cell,a*,2,-0.2517753779067648,0.005988023952095809,0.1531223267750214,274
npc_class,Aminoacids,cell,a*,63,-0.18750446633658313,0.027944111776447105,0.1923844618455397,274
npc_class,Aminoglycosides,cell,a*,12,-0.10917928786541926,0.30538922155688625,0.5695341989288749,274
npc_class,Aminosugars,cell,a*,10,0.006096385366458378,0.9620758483033932,0.9954426407301006,274
npc_class,Anabaenopeptins,cell,a*,12,-0.10082860137522834,0.1497005988023952,0.4541763929767583,274
npc_class,Androstane steroids,cell,a*,1,-0.11333338194652066,0.03792415169660679,0.2189813920546005,274
npc_class,Ansa macrolides,cell,a*,4,0.05740632711284185,0.2874251497005988,0.5695341989288749,274
npc_class,Anthranillic acid derivatives,cell,a*,3,-0.2011471814503582,0.03592814371257485,0.2189813920546005,274
npc_class,Anthraquinones and anthrones,cell,a*,4,0.0013052659825823036,0.9960079840319361,0.9960079840319361,274
npc_class,Antimycins,cell,a*,1,0.12237927344819426,0.14770459081836326,0.4541763929767583,274
npc_class,Apocarotenoids (β-),cell,a*,3,0.14337677018040126,0.011976047904191617,0.1531223267750214,274
npc_class,Aromadendrane sesquiterpenoids,cell,a*,1,-0.07675369587789314,0.23353293413173654,0.5291442431592511,274
npc_class,Ascarosides,cell,a*,1,-0.08883081995686258,0.26147704590818366,0.5639083279224684,274
npc_class,Azaphilones,cell,a*,2,-0.0936596634843391,0.3592814371257485,0.5987839136541732,274
npc_class,Benzodiazepine alkaloids,cell,a*,5,-0.15655906137657963,0.013972055888223553,0.156312375249501,274
npc_class,Beyerane diterpenoids,cell,a*,2,-0.08997511396574805,0.35129740518962077,0.5987839136541732,274
npc_class,Bisabolane sesquiterpenoids,cell,a*,4,-0.20717881022215778,0.021956087824351298,0.17864271457085829,274
npc_class,Bisnaphthalenes,cell,a*,2,-0.10764832505588635,0.30538922155688625,0.5695341989288749,274
npc_class,Branched fatty acids,cell,a*,5,-0.14360267469756524,0.0499001996007984,0.24140907374440307,274
npc_class,Cannabinoids,cell,a*,2,0.05023236006870347,0.6227544910179641,0.8077757528421419,274
npc_class,Carbazole alkaloids,cell,a*,3,-0.080884662782473,0.16367265469061876,0.48028533097738946,274
npc_class,Carboline alkaloids,cell,a*,16,-0.08274732566703372,0.18163672654690619,0.48134286981592367,274
npc_class,Cardenolides,cell,a*,4,-0.2071871159176599,0.10978043912175649,0.3930139720558882,274
npc_class,"Carotenoids (C40, β-β)",cell,a*,10,-0.04795525642240972,0.6047904191616766,0.8019072965180749,274
npc_class,"Carotenoids (C40, π-Χ)",cell,a*,4,-0.10191589432465345,0.08383233532934131,0.3334664005322688,274
npc_class,"Carotenoids (C40, π-π)",cell,a*,1,-0.06286758787945519,0.31137724550898205,0.5695341989288749,274
npc_class,Caryophyllane sesquiterpenoids,cell,a*,2,-0.11975426983670782,0.04590818363273453,0.22826569084054116,274
npc_class,Catechols with side chains,cell,a*,2,-0.1574130978510541,0.05788423153692615,0.25903193612774456,274
npc_class,Cephalosporins,cell,a*,5,0.09127516355778746,0.14770459081836326,0.4541763929767583,274
npc_class,Ceramides,cell,a*,37,-0.023856143856143847,0.6686626746506986,0.8428916814258807,274
npc_class,Chalcones,cell,a*,9,0.005573696376616096,0.9580838323353293,0.9954426407301006,274
npc_class,Cholane steroids,cell,a*,5,0.017767141158334762,0.9540918163672655,0.9954426407301006,274
npc_class,Cholestane steroids,cell,a*,10,-0.08329223085950849,0.20359281437125748,0.4924745104385823,274
npc_class,Cinnamic acid amides,cell,a*,4,-0.01797997622815142,0.8143712574850299,0.9213020499880742,274
npc_class,Cinnamic acids and derivatives,cell,a*,1,-0.11664510671809944,0.05389221556886228,0.2538606996533249,274
npc_class,Cucurbitane triterpenoids,cell,a*,2,-0.09466708474007746,0.08383233532934131,0.3334664005322688,274
npc_class,Cyanogenic glycosides,cell,a*,3,0.014156887795754695,0.7984031936127745,0.9213020499880742,274
npc_class,Cyclamides,cell,a*,9,-0.08118859242946835,0.21956087824351297,0.5084446491632121,274
npc_class,Cyclic peptides,cell,a*,207,-0.17499901558295725,0.05588822355289421,0.25651261579405293,274
npc_class,Cyclitols,cell,a*,2,-0.22952708736509272,0.015968063872255488,0.1587935240629851,274
npc_class,Cytochalasan alkaloids,cell,a*,3,-0.005419106441004245,0.9301397205588823,0.9954426407301006,274
npc_class,DKXanthenes and derivatives,cell,a*,1,0.0027974336329488073,0.9740518962075848,0.9960079840319361,274
npc_class,Dammarane and Protostane triterpenoids,cell,a*,2,0.035814404573528635,0.5409181636726547,0.7620228293413173,274
npc_class,Depsipeptides,cell,a*,27,-0.22657955183502632,0.011976047904191617,0.1531223267750214,274
