ont_level,class_id,fraction,predictor,n_members,spearman_rho,empirical_p,empirical_fdr,n_strains
npc_pathway,Alkaloids,cell,C*,237,-0.11638959580565425,0.17564870259481039,0.4098469727212242,274
npc_pathway,Amino acids and Peptides,cell,C*,1424,-0.12321022043649779,0.16367265469061876,0.4098469727212242,274
npc_pathway,Carbohydrates,cell,C*,97,-0.1034635437555146,0.5149700598802395,0.5149700598802395,274
npc_pathway,Fatty acids,cell,C*,1055,-0.11955956452306819,0.4351297405189621,0.5149700598802395,274
npc_pathway,Polyketides,cell,C*,95,-0.1606962380685009,0.2435129740518962,0.42614770459081835,274
npc_pathway,Shikimates and Phenylpropanoids,cell,C*,29,-0.07320825160241222,0.4590818363273453,0.5149700598802395,274
npc_pathway,Terpenoids,cell,C*,193,-0.15964852665582593,0.09780439121756487,0.4098469727212242,274
npc_class,2-pyrone derivatives,cell,C*,3,-0.1394864989025573,0.007984031936127744,0.23819028609447768,274
npc_class,3-Spirotetramic acids,cell,C*,1,-0.09922369601201718,0.07984031936127745,0.42033579899025475,274
npc_class,Abietane diterpenoids,cell,C*,1,0.03499529077040414,0.7704590818363274,0.9384697272122421,274
npc_class,Acetate-derived alkaloids,cell,C*,1,0.28225085278350864,0.007984031936127744,0.23819028609447768,274
npc_class,Acridone alkaloids,cell,C*,6,-0.08953469887776458,0.1277445109780439,0.5577138406114599,274
npc_class,Acyclic monoterpenoids,cell,C*,1,0.07107299027310753,0.2055888223552894,0.6313674021819374,274
npc_class,Acyl phloroglucinols,cell,C*,2,-0.2248003091798713,0.01996007984031936,0.3196764366004833,274
npc_class,Aminoacids,cell,C*,63,-0.16705775975848974,0.043912175648702596,0.35728542914171657,274
npc_class,Aminoglycosides,cell,C*,12,-0.10042133049432322,0.27944111776447106,0.6716966067864272,274
npc_class,Aminosugars,cell,C*,10,-0.02055666960776449,0.8163672654690619,0.94507758676196,274
npc_class,Anabaenopeptins,cell,C*,12,-0.07720974881896643,0.29141716566866266,0.6743762475049901,274
npc_class,Androstane steroids,cell,C*,1,-0.14127682536441663,0.007984031936127744,0.23819028609447768,274
npc_class,Ansa macrolides,cell,C*,4,0.09075375829108771,0.0998003992015968,0.48281814748880614,274
npc_class,Anthranillic acid derivatives,cell,C*,3,-0.1731706596111824,0.06187624750499002,0.3942459907770665,274
npc_class,Anthraquinones and anthrones,cell,C*,4,-0.040526248242673826,0.7465069860279441,0.9384697272122421,274
npc_class,Antimycins,cell,C*,1,0.08528460710857505,0.3013972055888224,0.6743762475049901,274
npc_class,Apocarotenoids (β-),cell,C*,3,0.11371934990737526,0.0499001996007984,0.38835372732795276,274
npc_class,Aromadendrane sesquiterpenoids,cell,C*,1,-0.029577007636995355,0.5968063872255489,0.9212649082001287,274
npc_class,Ascarosides,cell,C*,1,-0.0943035959358708,0.19161676646706588,0.6236254763200871,274
npc_class,Azaphilones,cell,C*,2,-0.046838494281000384,0.6866267465069861,0.9253435574893378,274
npc_class,Benzodiazepine alkaloids,cell,C*,5,-0.12261752845694453,0.041916167664670656,0.35728542914171657,274
npc_class,Beyerane diterpenoids,cell,C*,2,-0.0504846562950376,0.6207584830339321,0.9212649082001287,274
npc_class,Bisabolane sesquiterpenoids,cell,C*,4,-0.1459392766842651,0.17764471057884232,0.6115077537233226,274
npc_class,Bisnaphthalenes,cell,C*,2,-0.11174644436637121,0.25748502994011974,0.6313674021819374,274
npc_class,Branched fatty acids,cell,C*,5,-0.15399695195315632,0.027944111776447105,0.3196764366004833,274
