formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C16H29N3O4S	[M + H]+	C16H30N3O4S+		0.947	117.517	117.517	0.000	39	0.961	-1.780	2.056	-12.088		360.191	88	1.467	876482719641362526	876482681334784006	876482681330589701	6515	
1	C25H43N7O11	[M + K]+	C25H43KN7O11+		0.691	150.957	150.957	0.000	50	0.921	-0.197	1.846	-13.430		656.256	159	2.643	876483560515428497	876482681750020114	876482681745825809	13972	
1	C26H40N4O6S	[M + H]+	C26H41N4O6S+		0.814	59.525	59.525	0.000	14	0.822	-2.521	2.521	-0.805		537.274	187	3.119	876482852076511357	876482682232365094	876482682232365093	45184	
1	C11H13ClN4O4	[M + H]+	C11H14ClN4O4+		0.602	48.008	48.008	0.000	14	0.914	-0.901	2.623	-1.026		301.070	237	3.949	876482713572204628	876482682010066970	876482682005872665	34917	
1	C34H48O2	[M + Na]+	C34H48NaO2+		0.371	44.050	44.050	0.000	18	0.734	-8.450	8.450	-6.554		511.351	281	4.683	876482825690144883	876482681196371970	876482681192177665	4197	
1	C30H45ClN4O3	[M + H]+	C30H46ClN4O3+		0.410	13.742	13.742	0.000	5	0.615	-1.240	2.441	4.409		545.328	286	4.765	876482701182230602	876482682119118878	876482682114924573	40991	
1	C5H14NO4P	[M + H]+	C5H15NO4P+		0.545	55.702	55.702	0.000	8	0.985	-2.146	2.146	-2.830		184.073	290	4.839	876482692256751674	876482680818884602	876482680793718777	1318	
1	C30H44N2O7	[M + H]+	C30H45N2O7+		1.000	126.054	126.054	0.000	31	0.924	-0.563	1.639	14.618		545.330	321	5.358	876482693229830212	876482681473196042	876482681469001737	8023	
1	C24H50NO7P	[M + H]+	C24H51NO7P+		1.000	49.569	49.569	0.000	14	0.948	-1.344	1.774	-13.229	LPC(16:0)	496.333	330	5.500	876482694446178377	876482681045377022	876482681036988413	2084	
1	C41H66O11	[M + H]+	C41H67O11+		0.963	108.439	108.439	0.000	26	0.800	-1.369	1.743	0.830		735.468	340	5.659	876482816349429865	876482681603219470	876482681599025165	12287	
1	C46H78O10	[M + H]+	C46H79O10+		0.268	4.029	4.029	0.000	0	0.000	-4.896	4.896	-6.917		791.561	378	6.304	876482854614065287	876482682219782178	876482682215587873	42371	
